ID_PARTIDO,EQUIPO_LOCAL,EQUIPO_VISITANTE,GOLES_LOCAL,GOLES_VISITANTE,MI_JORNADA
97,Oviedo,Espanyol,1,2,11
98,Valencia,Ath. Bilbao,4,1,11
99,Zaragoza,Málaga (C.D.),1,1,11
100,Ath. Bilbao,Oviedo,3,3,12
101,Castellón,Granada,0,0,12
102,Celta,Zaragoza,1,2,12
103,Espanyol,Betis,2,2,12
104,Las Palmas,At. Madrid,2,2,12
105,Málaga (C.D.),Dptivo. Coruña,4,1,12
106,Real Madrid,Burgos,2,0,12
107,Real Sociedad,Valencia,2,1,12
108,Sporting Gijón,Barcelona,1,1,12
109,Barcelona,Las Palmas,3,1,13
110,Betis,Ath. Bilbao,0,0,13
111,Burgos,At. Madrid,0,1,13
112,Dptivo. Coruña,Celta,1,0,13
113,Granada,Sporting Gijón,1,0,13
114,Oviedo,Real Sociedad,1,1,13
115,Real Madrid,Espanyol,1,0,13
116,Valencia,Málaga (C.D.),2,1,13
117,Zaragoza,Castellón,0,1,13
118,At. Madrid,Barcelona,2,0,14
119,Ath. Bilbao,Real Madrid,2,1,14
120,Castellón,Dptivo. Coruña,2,0,14
121,Celta,Valencia,1,0,14
122,Espanyol,Burgos,2,0,14
123,Las Palmas,Granada,1,0,14
124,Málaga (C.D.),Oviedo,1,1,14
125,Real Sociedad,Betis,2,1,14
126,Sporting Gijón,Zaragoza,3,0,14
127,Betis,Málaga (C.D.),0,1,15
128,Burgos,Barcelona,0,0,15
129,Dptivo. Coruña,Sporting Gijón,2,1,15
130,Espanyol,Ath. Bilbao,0,0,15
131,Granada,At. Madrid,0,1,15
132,Oviedo,Celta,0,0,15
133,Real Madrid,Real Sociedad,6,1,15
134,Valencia,Castellón,4,2,15
135,Zaragoza,Las Palmas,1,0,15
136,At. Madrid,Zaragoza,0,0,16
137,Barcelona,Granada,3,0,16
138,Burgos,Ath. Bilbao,5,1,16
139,Castellón,Oviedo,2,0,16
140,Celta,Betis,0,0,16
141,Las Palmas,Dptivo. Coruña,3,0,16
142,Málaga (C.D.),Real Madrid,1,0,16
143,Real Sociedad,Espanyol,4,1,16
144,Sporting Gijón,Valencia,1,1,16
145,Ath. Bilbao,Real Sociedad,2,1,17
146,Betis,Castellón,2,0,17
147,Dptivo. Coruña,At. Madrid,1,1,17
148,Espanyol,Málaga (C.D.),1,0,17
149,Granada,Burgos,2,0,17
150,Oviedo,Sporting Gijón,1,0,17
151,Real Madrid,Celta,1,0,17
152,Valencia,Las Palmas,0,0,17
153,Zaragoza,Barcelona,0,2,17
154,Ath. Bilbao,Málaga (C.D.),2,0,18
155,Betis,Sporting Gijón,2,0,18
156,Dptivo. Coruña,Barcelona,0,1,18
157,Espanyol,Celta,4,2,18
158,Oviedo,Las Palmas,3,0,18
159,Real Madrid,Castellón,2,0,18
160,Real Sociedad,Burgos,5,1,18
161,Valencia,At. Madrid,1,2,18
162,Zaragoza,Granada,2,0,18
163,At. Madrid,Oviedo,2,1,19
164,Barcelona,Valencia,0,0,19
165,Burgos,Zaragoza,3,0,19
166,Castellón,Espanyol,2,0,19
167,Celta,Ath. Bilbao,1,0,19
168,Granada,Dptivo. Coruña,2,0,19
169,Las Palmas,Betis,2,0,19
170,Málaga (C.D.),Real Sociedad,3,0,19
171,Sporting Gijón,Real Madrid,1,0,19
172,Ath. Bilbao,Castellón,1,1,20
173,Betis,At. Madrid,1,0,20
174,Dptivo. Coruña,Zaragoza,0,0,20
175,Espanyol,Sporting Gijón,3,0,20
176,Málaga (C.D.),Burgos,3,0,20
177,Oviedo,Barcelona,0,0,20
178,Real Madrid,Las Palmas,2,1,20
179,Real Sociedad,Celta,1,0,20
180,Valencia,Granada,0,0,20
181,At. Madrid,Real Madrid,1,2,21
182,Barcelona,Betis,2,0,21
183,Burgos,Dptivo. Coruña,0,0,21
184,Castellón,Real Sociedad,3,0,21
185,Celta,Málaga (C.D.),1,0,21
186,Granada,Oviedo,4,0,21
187,Las Palmas,Espanyol,0,2,21
188,Sporting Gijón,Ath. Bilbao,2,0,21
189,Zaragoza,Valencia,0,1,21
190,Ath. Bilbao,Las Palmas,1,0,22
191,Betis,Granada,0,0,22
192,Celta,Burgos,1,0,22
193,Espanyol,At. Madrid,2,1,22
194,Málaga (C.D.),Castellón,1,1,22
195,Oviedo,Zaragoza,2,0,22
196,Real Madrid,Barcelona,0,0,22
197,Real Sociedad,Sporting Gijón,0,0,22
198,Valencia,Dptivo. Coruña,0,1,22
199,At. Madrid,Ath. Bilbao,2,1,23
200,Barcelona,Espanyol,0,1,23
201,Burgos,Valencia,2,1,23
202,Castellón,Celta,5,1,23
203,Dptivo. Coruña,Oviedo,1,1,23
204,Granada,Real Madrid,1,2,23
205,Las Palmas,Real Sociedad,1,0,23
206,Sporting Gijón,Málaga (C.D.),2,0,23
207,Zaragoza,Betis,3,2,23
208,Ath. Bilbao,Barcelona,0,1,24
209,Betis,Dptivo. Coruña,2,0,24
210,Castellón,Burgos,3,1,24
211,Celta,Sporting Gijón,3,0,24
212,Espanyol,Granada,2,1,24
213,Málaga (C.D.),Las Palmas,0,1,24
214,Oviedo,Valencia,3,1,24
215,Real Madrid,Zaragoza,0,0,24
216,Real Sociedad,At. Madrid,0,1,24
217,At. Madrid,Málaga (C.D.),1,1,25
218,Barcelona,Real Sociedad,1,0,25
219,Burgos,Oviedo,0,1,25
220,Dptivo. Coruña,Real Madrid,0,0,25
221,Granada,Ath. Bilbao,0,0,25
222,Las Palmas,Celta,0,0,25
223,Sporting Gijón,Castellón,1,0,25
224,Valencia,Betis,2,0,25
225,Zaragoza,Espanyol,1,0,25
226,Ath. Bilbao,Zaragoza,1,0,26
227,Betis,Oviedo,0,0,26
228,Castellón,Las Palmas,2,1,26
229,Celta,At. Madrid,0,1,26
230,Espanyol,Dptivo. Coruña,2,1,26
231,Málaga (C.D.),Barcelona,2,1,26
232,Real Madrid,Valencia,2,1,26
233,Real Sociedad,Granada,1,0,26
234,Sporting Gijón,Burgos,1,2,26
235,At. Madrid,Castellón,1,0,27
236,Barcelona,Celta,2,0,27
237,Burgos,Betis,2,1,27
238,Dptivo. Coruña,Ath. Bilbao,2,1,27
239,Granada,Málaga (C.D.),2,0,27
240,Las Palmas,Sporting Gijón,1,1,27
241,Oviedo,Real Madrid,1,2,27
242,Valencia,Espanyol,1,0,27
243,Zaragoza,Real Sociedad,1,1,27
244,Ath. Bilbao,Valencia,2,0,28
245,Castellón,Barcelona,4,0,28
246,Celta,Granada,0,0,28
247,Espanyol,Oviedo,3,0,28
248,Las Palmas,Burgos,4,1,28
249,Málaga (C.D.),Zaragoza,2,1,28
250,Real Madrid,Betis,1,1,28
251,Real Sociedad,Dptivo. Coruña,2,0,28
252,Sporting Gijón,At. Madrid,2,3,28
253,At. Madrid,Las Palmas,2,1,29
254,Barcelona,Sporting Gijón,3,1,29
255,Betis,Espanyol,2,2,29
256,Burgos,Real Madrid,2,3,29
257,Dptivo. Coruña,Málaga (C.D.),1,0,29
258,Granada,Castellón,1,1,29
259,Oviedo,Ath. Bilbao,2,1,29
260,Valencia,Real Sociedad,1,0,29
261,Zaragoza,Celta,2,2,29
262,At. Madrid,Burgos,4,2,30
263,Ath. Bilbao,Betis,1,1,30
264,Castellón,Zaragoza,1,1,30
265,Celta,Dptivo. Coruña,1,0,30
266,Espanyol,Real Madrid,1,0,30
267,Las Palmas,Barcelona,2,1,30
268,Málaga (C.D.),Valencia,1,1,30
269,Real Sociedad,Oviedo,1,2,30
270,Sporting Gijón,Granada,2,0,30
271,Barcelona,At. Madrid,0,0,31
272,Betis,Real Sociedad,1,1,31
273,Burgos,Espanyol,1,1,31
274,Dptivo. Coruña,Castellón,1,1,31
275,Granada,Las Palmas,1,0,31
276,Oviedo,Málaga (C.D.),0,0,31
277,Real Madrid,Ath. Bilbao,3,3,31
278,Valencia,Celta,1,0,31
279,Zaragoza,Sporting Gijón,3,1,31
280,At. Madrid,Granada,2,1,32
281,Ath. Bilbao,Espanyol,1,0,32
282,Barcelona,Burgos,2,0,32
283,Castellón,Valencia,1,3,32
284,Celta,Oviedo,4,2,32
285,Las Palmas,Zaragoza,1,1,32
286,Málaga (C.D.),Betis,0,0,32
287,Real Sociedad,Real Madrid,1,1,32
288,Sporting Gijón,Dptivo. Coruña,0,0,32
289,Ath. Bilbao,Burgos,4,0,33
290,Betis,Celta,1,0,33
291,Dptivo. Coruña,Las Palmas,2,2,33
292,Espanyol,Real Sociedad,1,1,33
293,Granada,Barcelona,0,2,33
294,Oviedo,Castellón,0,0,33
295,Real Madrid,Málaga (C.D.),2,0,33
296,Valencia,Sporting Gijón,1,0,33
297,Zaragoza,At. Madrid,1,1,33
298,At. Madrid,Dptivo. Coruña,3,1,34
299,Barcelona,Zaragoza,1,1,34
300,Burgos,Granada,2,1,34
301,Castellón,Betis,3,1,34
302,Celta,Real Madrid,3,0,34
303,Las Palmas,Valencia,1,0,34
304,Málaga (C.D.),Espanyol,0,1,34
305,Real Sociedad,Ath. Bilbao,1,0,34
306,Sporting Gijón,Oviedo,1,0,34
307,Barakaldo,Pontevedra,3,0,35
308,Cádiz,Sabadell,3,1,35
309,Córdoba,Logroñés,2,1,35
310,Elche,Cult. Leonesa,3,2,35
311,Mallorca,Rayo Vallecano,2,1,35
312,Osasuna,Rac. Santander,0,1,35
313,Sant Andreu,Gimn. Tarragon,1,2,35
314,Sevilla,Tenerife,3,0,35
315,Valencia B,Murcia,0,0,35
316,Valladolid,Hércules,1,1,35
317,Cult. Leonesa,Sant Andreu,1,2,36
318,Gimn. Tarragon,Barakaldo,2,0,36
319,Hércules,Sevilla,1,1,36
320,Logroñés,Cádiz,3,3,36
321,Murcia,Valladolid,2,1,36
322,Pontevedra,Mallorca,1,3,36
323,Rac. Santander,Córdoba,1,0,36
324,Rayo Vallecano,Osasuna,7,0,36
325,Sabadell,Valencia B,2,1,36
326,Tenerife,Elche,0,0,36
327,Barakaldo,Cult. Leonesa,1,2,37
328,Cádiz,Rac. Santander,0,1,37
329,Elche,Hércules,3,0,37
330,Mallorca,Gimn. Tarragon,2,0,37
331,Osasuna,Córdoba,2,2,37
332,Rayo Vallecano,Pontevedra,2,2,37
333,Sant Andreu,Tenerife,1,0,37
334,Sevilla,Murcia,1,1,37
335,Valencia B,Logroñés,1,1,37
336,Valladolid,Sabadell,1,1,37
337,Cult. Leonesa,Mallorca,0,0,38
338,Córdoba,Cádiz,2,0,38
339,Gimn. Tarragon,Rayo Vallecano,2,0,38
340,Hércules,Sant Andreu,1,0,38
341,Logroñés,Valladolid,1,2,38
342,Murcia,Elche,2,0,38
343,Pontevedra,Osasuna,1,2,38
344,Rac. Santander,Valencia B,2,0,38
345,Sabadell,Sevilla,0,1,38
346,Tenerife,Barakaldo,0,0,38
347,Barakaldo,Hércules,2,0,39
348,Elche,Sabadell,1,0,39
349,Mallorca,Tenerife,3,0,39
350,Osasuna,Cádiz,1,0,39
351,Pontevedra,Gimn. Tarragon,3,0,39
352,Rayo Vallecano,Cult. Leonesa,1,1,39
353,Sant Andreu,Murcia,3,2,39
354,Sevilla,Logroñés,0,0,39
355,Valencia B,Córdoba,0,1,39
356,Valladolid,Rac. Santander,0,0,39
357,Cult. Leonesa,Pontevedra,1,1,40
358,Cádiz,Valencia B,1,1,40
359,Córdoba,Valladolid,2,3,40
360,Gimn. Tarragon,Osasuna,1,0,40
361,Hércules,Mallorca,2,0,40
362,Logroñés,Elche,0,1,40
363,Murcia,Barakaldo,6,0,40
364,Rac. Santander,Sevilla,1,0,40
365,Sabadell,Sant Andreu,1,1,40
366,Tenerife,Rayo Vallecano,1,0,40
367,Barakaldo,Sabadell,1,0,41
368,Elche,Rac. Santander,1,1,41
369,Gimn. Tarragon,Cult. Leonesa,4,0,41
370,Mallorca,Murcia,1,0,41
371,Osasuna,Valencia B,1,0,41
372,Pontevedra,Tenerife,2,1,41
373,Rayo Vallecano,Hércules,2,1,41
374,Sant Andreu,Logroñés,1,1,41
375,Sevilla,Córdoba,3,1,41
376,Valladolid,Cádiz,1,0,41
377,Cult. Leonesa,Osasuna,1,0,42
378,Cádiz,Sevilla,1,1,42
379,Córdoba,Elche,1,2,42
380,Hércules,Pontevedra,2,1,42
381,Logroñés,Barakaldo,1,1,42
382,Murcia,Rayo Vallecano,2,1,42
383,Rac. Santander,Sant Andreu,1,1,42
384,Sabadell,Mallorca,0,1,42
385,Tenerife,Gimn. Tarragon,1,0,42
386,Valencia B,Valladolid,0,0,42
387,Barakaldo,Rac. Santander,0,0,43
388,Cult. Leonesa,Tenerife,0,0,43
389,Elche,Cádiz,3,0,43
390,Gimn. Tarragon,Hércules,1,0,43
391,Mallorca,Logroñés,0,0,43
392,Osasuna,Valladolid,0,0,43
393,Pontevedra,Murcia,0,1,43
394,Rayo Vallecano,Sabadell,3,0,43
395,Sant Andreu,Córdoba,1,0,43
396,Sevilla,Valencia B,3,0,43
397,Cádiz,Sant Andreu,6,0,44
398,Córdoba,Barakaldo,2,0,44
399,Hércules,Cult. Leonesa,3,1,44
400,Logroñés,Rayo Vallecano,2,0,44
401,Murcia,Gimn. Tarragon,3,1,44
402,Rac. Santander,Mallorca,1,0,44
403,Sabadell,Pontevedra,3,1,44
404,Tenerife,Osasuna,2,0,44
405,Valencia B,Elche,2,3,44
406,Valladolid,Sevilla,1,1,44
407,Barakaldo,Cádiz,1,1,45
408,Cult. Leonesa,Murcia,1,3,45
409,Elche,Valladolid,1,2,45
410,Gimn. Tarragon,Sabadell,2,1,45
411,Mallorca,Córdoba,2,0,45
412,Osasuna,Sevilla,1,1,45
413,Pontevedra,Logroñés,1,1,45
414,Rayo Vallecano,Rac. Santander,2,0,45
415,Sant Andreu,Valencia B,0,0,45
416,Tenerife,Hércules,3,0,45
417,Cádiz,Mallorca,2,0,46
418,Córdoba,Rayo Vallecano,2,0,46
419,Hércules,Osasuna,2,0,46
420,Logroñés,Gimn. Tarragon,1,1,46
421,Murcia,Tenerife,3,0,46
422,Rac. Santander,Pontevedra,1,0,46
423,Sabadell,Cult. Leonesa,2,0,46
424,Sevilla,Elche,2,0,46
425,Valencia B,Barakaldo,0,1,46
426,Valladolid,Sant Andreu,1,1,46
427,Barakaldo,Valladolid,2,0,47
428,Cult. Leonesa,Logroñés,3,2,47
429,Gimn. Tarragon,Rac. Santander,1,0,47
430,Hércules,Murcia,0,1,47
431,Mallorca,Valencia B,1,1,47
432,Osasuna,Elche,1,0,47
433,Pontevedra,Córdoba,0,0,47
434,Rayo Vallecano,Cádiz,1,2,47
435,Sant Andreu,Sevilla,1,0,47
436,Tenerife,Sabadell,1,1,47
437,Cádiz,Pontevedra,2,0,48
438,Córdoba,Gimn. Tarragon,1,0,48
439,Elche,Sant Andreu,2,0,48
440,Logroñés,Tenerife,3,0,48
441,Murcia,Osasuna,1,0,48
442,Rac. Santander,Cult. Leonesa,2,1,48
443,Sabadell,Hércules,0,0,48
444,Sevilla,Barakaldo,0,1,48
445,Valencia B,Rayo Vallecano,2,1,48
446,Valladolid,Mallorca,3,1,48
447,Barakaldo,Elche,0,0,49
448,Cult. Leonesa,Córdoba,3,0,49
449,Gimn. Tarragon,Cádiz,2,1,49
450,Hércules,Logroñés,1,0,49
451,Mallorca,Sevilla,1,1,49
452,Murcia,Sabadell,5,2,49
453,Osasuna,Sant Andreu,1,1,49
454,Pontevedra,Valencia B,2,0,49
455,Rayo Vallecano,Valladolid,0,2,49
456,Tenerife,Rac. Santander,4,1,49
457,Cádiz,Cult. Leonesa,1,0,50
458,Córdoba,Tenerife,1,0,50
459,Elche,Mallorca,3,1,50
460,Logroñés,Murcia,0,0,50
461,Rac. Santander,Hércules,1,0,50
462,Sabadell,Osasuna,2,1,50
463,Sant Andreu,Barakaldo,3,0,50
464,Sevilla,Rayo Vallecano,3,0,50
465,Valencia B,Gimn. Tarragon,3,1,50
466,Valladolid,Pontevedra,1,0,50
467,Cult. Leonesa,Valencia B,2,1,51
468,Gimn. Tarragon,Valladolid,2,1,51
469,Hércules,Córdoba,1,0,51
470,Mallorca,Sant Andreu,2,1,51
471,Murcia,Rac. Santander,4,1,51
472,Osasuna,Barakaldo,1,0,51
473,Pontevedra,Sevilla,2,0,51
474,Rayo Vallecano,Elche,0,1,51
475,Sabadell,Logroñés,0,2,51
476,Tenerife,Cádiz,0,1,51
477,Barakaldo,Mallorca,1,0,52
478,Cádiz,Hércules,2,1,52
479,Córdoba,Murcia,1,0,52
480,Elche,Pontevedra,2,0,52
481,Osasuna,Logroñés,1,0,52
482,Rac. Santander,Sabadell,2,0,52
483,Sant Andreu,Rayo Vallecano,2,0,52
484,Sevilla,Gimn. Tarragon,2,0,52
485,Valencia B,Tenerife,2,1,52
486,Valladolid,Cult. Leonesa,1,0,52
487,Cult. Leonesa,Sevilla,1,2,53
488,Gimn. Tarragon,Elche,1,1,53
489,Hércules,Valencia B,1,0,53
490,Logroñés,Rac. Santander,0,3,53
491,Mallorca,Osasuna,1,0,53
492,Murcia,Cádiz,2,1,53
493,Pontevedra,Sant Andreu,0,0,53
494,Rayo Vallecano,Barakaldo,2,2,53
495,Sabadell,Córdoba,3,3,53
496,Tenerife,Valladolid,1,0,53
497,Cult. Leonesa,Elche,0,0,54
498,Gimn. Tarragon,Sant Andreu,2,1,54
499,Hércules,Valladolid,1,0,54
500,Logroñés,Córdoba,4,0,54
501,Murcia,Valencia B,5,0,54
502,Pontevedra,Barakaldo,0,2,54
503,Rac. Santander,Osasuna,1,0,54
504,Rayo Vallecano,Mallorca,2,1,54
505,Sabadell,Cádiz,3,1,54
506,Tenerife,Sevilla,2,0,54
507,Barakaldo,Gimn. Tarragon,3,0,55
508,Cádiz,Logroñés,3,2,55
509,Córdoba,Rac. Santander,1,2,55
510,Elche,Tenerife,1,0,55
511,Mallorca,Pontevedra,0,1,55
512,Osasuna,Rayo Vallecano,4,2,55
513,Sant Andreu,Cult. Leonesa,1,0,55
514,Sevilla,Hércules,1,0,55
515,Valencia B,Sabadell,2,1,55
516,Valladolid,Murcia,2,0,55
517,Cult. Leonesa,Barakaldo,1,1,56
518,Córdoba,Osasuna,4,0,56
519,Gimn. Tarragon,Mallorca,0,1,56
520,Hércules,Elche,2,1,56
521,Logroñés,Valencia B,1,1,56
522,Murcia,Sevilla,2,0,56
523,Pontevedra,Rayo Vallecano,2,1,56
524,Rac. Santander,Cádiz,1,0,56
525,Sabadell,Valladolid,1,0,56
526,Tenerife,Sant Andreu,0,1,56
527,Barakaldo,Tenerife,1,1,57
528,Cádiz,Córdoba,1,1,57
529,Elche,Murcia,1,1,57
530,Mallorca,Cult. Leonesa,2,0,57
531,Osasuna,Pontevedra,2,0,57
532,Rayo Vallecano,Gimn. Tarragon,4,0,57
533,Sant Andreu,Hércules,2,1,57
534,Sevilla,Sabadell,2,1,57
535,Valencia B,Rac. Santander,2,1,57
536,Valladolid,Logroñés,0,0,57
537,Cult. Leonesa,Rayo Vallecano,3,1,58
538,Cádiz,Osasuna,1,0,58
539,Córdoba,Valencia B,0,0,58
540,Gimn. Tarragon,Pontevedra,0,0,58
541,Hércules,Barakaldo,2,0,58
542,Logroñés,Sevilla,3,1,58
543,Murcia,Sant Andreu,1,0,58
544,Rac. Santander,Valladolid,2,0,58
545,Sabadell,Elche,1,0,58
546,Tenerife,Mallorca,1,0,58
547,Barakaldo,Murcia,0,1,59
548,Elche,Logroñés,3,1,59
549,Mallorca,Hércules,1,0,59
550,Osasuna,Gimn. Tarragon,2,1,59
551,Pontevedra,Cult. Leonesa,0,0,59
552,Rayo Vallecano,Tenerife,2,0,59
553,Sant Andreu,Sabadell,4,1,59
554,Sevilla,Rac. Santander,1,0,59
555,Valencia B,Cádiz,1,1,59
556,Valladolid,Córdoba,2,1,59
557,Cult. Leonesa,Gimn. Tarragon,2,0,60
558,Cádiz,Valladolid,3,2,60
559,Córdoba,Sevilla,0,0,60
560,Hércules,Rayo Vallecano,1,1,60
561,Logroñés,Sant Andreu,1,3,60
562,Murcia,Mallorca,1,0,60
563,Rac. Santander,Elche,0,0,60
564,Sabadell,Barakaldo,3,0,60
565,Tenerife,Pontevedra,3,1,60
566,Valencia B,Osasuna,0,1,60
567,Barakaldo,Logroñés,2,1,61
568,Elche,Córdoba,1,0,61
569,Gimn. Tarragon,Tenerife,0,0,61
570,Mallorca,Sabadell,3,0,61
571,Osasuna,Cult. Leonesa,1,0,61
572,Pontevedra,Hércules,1,1,61
573,Rayo Vallecano,Murcia,2,0,61
574,Sant Andreu,Rac. Santander,2,0,61
575,Sevilla,Cádiz,2,0,61
576,Valladolid,Valencia B,0,0,61
577,Cádiz,Elche,1,1,62
578,Córdoba,Sant Andreu,4,0,62
579,Hércules,Gimn. Tarragon,0,0,62
580,Logroñés,Mallorca,1,0,62
581,Murcia,Pontevedra,3,0,62
582,Rac. Santander,Barakaldo,2,1,62
583,Sabadell,Rayo Vallecano,1,1,62
584,Tenerife,Cult. Leonesa,4,1,62
585,Valencia B,Sevilla,0,0,62
586,Valladolid,Osasuna,2,0,62
587,Barakaldo,Córdoba,3,2,63
588,Cult. Leonesa,Hércules,1,4,63
589,Elche,Valencia B,4,1,63
590,Gimn. Tarragon,Murcia,0,1,63
591,Mallorca,Rac. Santander,0,0,63
592,Osasuna,Tenerife,1,1,63
593,Pontevedra,Sabadell,0,0,63
594,Rayo Vallecano,Logroñés,1,0,63
595,Sant Andreu,Cádiz,2,4,63
596,Sevilla,Valladolid,0,0,63
597,Cádiz,Barakaldo,3,1,64
598,Córdoba,Mallorca,2,0,64
599,Hércules,Tenerife,3,1,64
600,Logroñés,Pontevedra,0,0,64
601,Murcia,Cult. Leonesa,0,1,64
602,Rac. Santander,Rayo Vallecano,2,1,64
603,Sabadell,Gimn. Tarragon,3,2,64
604,Sevilla,Osasuna,1,1,64
605,Valencia B,Sant Andreu,1,1,64
606,Valladolid,Elche,0,0,64
607,Barakaldo,Valencia B,4,2,65
608,Cult. Leonesa,Sabadell,0,0,65
609,Elche,Sevilla,1,0,65
610,Gimn. Tarragon,Logroñés,2,2,65
611,Mallorca,Cádiz,0,0,65
612,Osasuna,Hércules,1,0,65
613,Pontevedra,Rac. Santander,4,0,65
614,Rayo Vallecano,Córdoba,3,0,65
615,Sant Andreu,Valladolid,2,2,65
616,Tenerife,Murcia,2,0,65
617,Cádiz,Rayo Vallecano,2,3,66
618,Córdoba,Pontevedra,2,1,66
619,Elche,Osasuna,1,0,66
620,Logroñés,Cult. Leonesa,1,0,66
621,Murcia,Hércules,2,0,66
622,Rac. Santander,Gimn. Tarragon,1,1,66
623,Sabadell,Tenerife,1,0,66
624,Sevilla,Sant Andreu,0,0,66
625,Valencia B,Mallorca,1,3,66
626,Valladolid,Barakaldo,4,0,66
627,Barakaldo,Sevilla,2,1,67
628,Cult. Leonesa,Rac. Santander,1,2,67
629,Gimn. Tarragon,Córdoba,1,1,67
630,Hércules,Sabadell,0,0,67
631,Mallorca,Valladolid,0,1,67
632,Osasuna,Murcia,1,0,67
633,Pontevedra,Cádiz,2,1,67
634,Rayo Vallecano,Valencia B,1,1,67
635,Sant Andreu,Elche,3,1,67
636,Tenerife,Logroñés,3,0,67
637,Cádiz,Gimn. Tarragon,1,1,68
638,Córdoba,Cult. Leonesa,2,2,68
639,Elche,Barakaldo,1,0,68
640,Logroñés,Hércules,1,2,68
641,Rac. Santander,Tenerife,2,1,68
642,Sabadell,Murcia,3,3,68
643,Sant Andreu,Osasuna,3,3,68
644,Sevilla,Mallorca,2,0,68
645,Valencia B,Pontevedra,1,0,68
