ID_VUELO;flightNum;departure;arrival;originiata;destiata;Matricula
204;244;26/10/2008;26/10/2008;LAX;MCO;N5DHAA
205;244;27/10/2008;27/10/2008;LAX;MCO;N5FAAA
206;246;25/10/2008;26/10/2008;KOA;LAX;N5EWAA
207;246;26/10/2008;27/10/2008;KOA;LAX;N5FAAA
208;246;27/10/2008;28/10/2008;KOA;LAX;N5FBAA
209;247;25/10/2008;25/10/2008;DFW;LAX;N5EUAA
210;247;26/10/2008;26/10/2008;DFW;LAX;N5FAAA
211;247;27/10/2008;27/10/2008;DFW;LAX;N5FBAA
212;247;25/10/2008;25/10/2008;LAX;KOA;N5EWAA
213;247;26/10/2008;26/10/2008;LAX;KOA;N5FAAA
214;247;27/10/2008;27/10/2008;LAX;KOA;N5FBAA
215;252;25/10/2008;25/10/2008;LAX;MIA;N390AA
216;252;26/10/2008;26/10/2008;LAX;MIA;N388AA
217;252;27/10/2008;27/10/2008;LAX;MIA;N345AA
218;253;25/10/2008;25/10/2008;LAX;OGG;N5DEAA
219;253;26/10/2008;26/10/2008;LAX;OGG;N5DEAA
220;253;27/10/2008;27/10/2008;LAX;OGG;N5DEAA
221;254;25/10/2008;25/10/2008;OGG;LAX;N5DEAA
222;254;26/10/2008;26/10/2008;OGG;LAX;N5DEAA
223;254;27/10/2008;27/10/2008;OGG;LAX;N5DEAA
224;257;25/10/2008;25/10/2008;JFK;LAS;N612AA
225;257;26/10/2008;26/10/2008;JFK;LAS;N5EFAA
226;257;27/10/2008;27/10/2008;JFK;LAS;N5FHAA
227;258;26/10/2008;26/10/2008;LAS;JFK;N635AA
228;258;27/10/2008;27/10/2008;LAS;JFK;N617AA
229;263;25/10/2008;25/10/2008;IAD;LAX;N3BHAA
230;263;26/10/2008;26/10/2008;IAD;LAX;N3DLAA
231;263;27/10/2008;27/10/2008;IAD;LAX;N3CWAA
232;264;25/10/2008;25/10/2008;LAX;BOS;N630AA
233;264;26/10/2008;26/10/2008;LAX;BOS;N5ENAA
234;264;27/10/2008;27/10/2008;LAX;BOS;N5CNAA
235;267;25/10/2008;25/10/2008;MIA;LAX;N5FDAA
236;267;26/10/2008;26/10/2008;MIA;LAX;N5ERAA
237;267;27/10/2008;27/10/2008;MIA;LAX;N5ETAA
238;268;25/10/2008;25/10/2008;SEA;JFK;N5CUAA
239;268;26/10/2008;26/10/2008;SEA;JFK;N5DAAA
240;268;27/10/2008;27/10/2008;SEA;JFK;N5CKAA
241;269;25/10/2008;25/10/2008;JFK;SEA;N5FSAA
242;269;26/10/2008;26/10/2008;JFK;SEA;N635AA
243;269;27/10/2008;27/10/2008;JFK;SEA;N617AA
244;270;25/10/2008;25/10/2008;HNL;LAX;N391AA
245;270;26/10/2008;26/10/2008;HNL;LAX;N374AA
246;270;27/10/2008;27/10/2008;HNL;LAX;N367AA
247;272;25/10/2008;26/10/2008;SFO;MIA;N639AA
248;272;26/10/2008;27/10/2008;SFO;MIA;N630AA
249;272;27/10/2008;28/10/2008;SFO;MIA;N5EHAA
250;276;25/10/2008;26/10/2008;LAX;MIA;N5ECAA
251;276;26/10/2008;27/10/2008;LAX;MIA;N358AA
252;276;27/10/2008;28/10/2008;LAX;MIA;N624AA
253;280;25/10/2008;25/10/2008;LAX;MIA;N388AA
254;280;26/10/2008;26/10/2008;LAX;MIA;N391AA
255;280;27/10/2008;27/10/2008;LAX;MIA;N354AA
256;282;25/10/2008;25/10/2008;DFW;MCO;N549AA
257;282;26/10/2008;26/10/2008;DFW;MCO;N492AA
258;282;27/10/2008;27/10/2008;DFW;MCO;N440AA
259;282;25/10/2008;25/10/2008;TUS;DFW;N549AA
260;282;26/10/2008;26/10/2008;TUS;DFW;N492AA
261;282;27/10/2008;27/10/2008;TUS;DFW;N440AA
262;283;25/10/2008;25/10/2008;LAX;HNL;N348AA
263;283;26/10/2008;26/10/2008;LAX;HNL;N367AA
264;283;27/10/2008;27/10/2008;LAX;HNL;N399AA
265;283;25/10/2008;25/10/2008;MIA;LAX;N358AA
266;283;26/10/2008;26/10/2008;MIA;LAX;N367AA
267;283;27/10/2008;27/10/2008;MIA;LAX;N399AA
268;285;25/10/2008;25/10/2008;LAX;LIH;N5DHAA
269;285;26/10/2008;26/10/2008;LAX;LIH;N5DJAA
270;285;27/10/2008;27/10/2008;LAX;LIH;N5DHAA
271;285;25/10/2008;25/10/2008;MCO;LAX;N5DHAA
272;285;26/10/2008;26/10/2008;MCO;LAX;N5DJAA
273;285;27/10/2008;27/10/2008;MCO;LAX;N5DHAA
274;286;25/10/2008;26/10/2008;LIH;LAX;N5DHAA
275;286;26/10/2008;27/10/2008;LIH;LAX;N5DJAA
276;286;27/10/2008;28/10/2008;LIH;LAX;N5DHAA
277;294;25/10/2008;25/10/2008;ORD;MIA;N369AA
278;294;26/10/2008;26/10/2008;ORD;MIA;N382AA
279;294;27/10/2008;27/10/2008;ORD;MIA;N397AA
280;295;25/10/2008;25/10/2008;MIA;ORD;N369AA
281;295;26/10/2008;26/10/2008;MIA;ORD;N382AA
282;295;27/10/2008;27/10/2008;MIA;ORD;N363AA
283;297;25/10/2008;25/10/2008;LAX;HNL;N5FAAA
284;297;26/10/2008;26/10/2008;LAX;HNL;N5ERAA
285;297;27/10/2008;27/10/2008;LAX;HNL;N5ECAA
286;298;25/10/2008;26/10/2008;HNL;LAX;N5FAAA
287;298;26/10/2008;27/10/2008;HNL;LAX;N5ERAA
288;298;27/10/2008;28/10/2008;HNL;LAX;N5ECAA
289;299;25/10/2008;25/10/2008;MIA;LAX;N7AGAA
290;299;27/10/2008;27/10/2008;MIA;LAX;N7BUAA
291;300;25/10/2008;25/10/2008;DFW;RDU;N578AA
292;300;27/10/2008;27/10/2008;DFW;RDU;N533AA
293;301;27/10/2008;27/10/2008;LGA;ORD;N200AA
294;301;25/10/2008;25/10/2008;ORD;SAN;N4WKAA
295;301;26/10/2008;26/10/2008;ORD;SAN;N4YDAA
296;301;27/10/2008;27/10/2008;ORD;SAN;N200AA
297;303;25/10/2008;25/10/2008;LGA;ORD;N5FJAA
298;303;26/10/2008;26/10/2008;LGA;ORD;N5CPAA
299;303;27/10/2008;27/10/2008;LGA;ORD;N5BSAA
300;303;25/10/2008;25/10/2008;ORD;SEA;N5FJAA
301;303;26/10/2008;26/10/2008;ORD;SEA;N5CPAA
302;303;27/10/2008;27/10/2008;ORD;SEA;N5BSAA
303;304;25/10/2008;25/10/2008;DFW;TPA;N3AMAA
304;304;26/10/2008;26/10/2008;DFW;TPA;N3AEAA
305;304;27/10/2008;27/10/2008;DFW;TPA;N3DHAA
306;305;25/10/2008;25/10/2008;LGA;ORD;N287AA
307;305;26/10/2008;26/10/2008;LGA;ORD;N465AA
308;305;27/10/2008;27/10/2008;LGA;ORD;N266AA
309;305;25/10/2008;25/10/2008;ORD;PHX;N287AA
310;305;26/10/2008;26/10/2008;ORD;PHX;N465AA
311;305;27/10/2008;27/10/2008;ORD;PHX;N266AA
312;306;25/10/2008;25/10/2008;DFW;BWI;N4UBAA
313;306;26/10/2008;26/10/2008;DFW;BWI;N287AA
314;306;27/10/2008;27/10/2008;DFW;BWI;N227AA
315;308;25/10/2008;25/10/2008;PHX;MIA;N3DJAA
316;308;26/10/2008;26/10/2008;PHX;MIA;N3AKAA
317;308;27/10/2008;27/10/2008;PHX;MIA;N3CPAA
318;309;25/10/2008;25/10/2008;LGA;ORD;N5CCAA
319;309;27/10/2008;27/10/2008;LGA;ORD;N5FKAA
320;309;25/10/2008;25/10/2008;ORD;LAX;N5CCAA
321;309;26/10/2008;26/10/2008;ORD;LAX;N5CYAA
322;309;27/10/2008;27/10/2008;ORD;LAX;N5FKAA
323;311;25/10/2008;25/10/2008;BOS;STL;N214AA
324;311;26/10/2008;26/10/2008;BOS;STL;N505AA
325;311;27/10/2008;27/10/2008;BOS;STL;N208AA
326;311;25/10/2008;25/10/2008;SNA;SJC;N457AA
327;311;26/10/2008;26/10/2008;SNA;SJC;N505AA
328;311;27/10/2008;27/10/2008;SNA;SJC;N208AA
329;311;25/10/2008;25/10/2008;STL;SNA;N457AA
330;311;26/10/2008;26/10/2008;STL;SNA;N505AA
331;311;27/10/2008;27/10/2008;STL;SNA;N208AA
332;312;25/10/2008;25/10/2008;DFW;RSW;N469AA
333;312;26/10/2008;26/10/2008;DFW;RSW;N524AA
334;312;27/10/2008;27/10/2008;DFW;RSW;N554AA
335;313;25/10/2008;25/10/2008;LGA;ORD;N517AA
336;313;26/10/2008;26/10/2008;LGA;ORD;N471AA
337;313;27/10/2008;27/10/2008;LGA;ORD;N423AA
338;317;25/10/2008;25/10/2008;DFW;SAN;N241AA
339;317;26/10/2008;26/10/2008;DFW;SAN;N458AA
340;317;27/10/2008;27/10/2008;DFW;SAN;N506AA
341;318;25/10/2008;25/10/2008;SNA;DFW;N3AJAA
342;318;26/10/2008;26/10/2008;SNA;DFW;N3BTAA
343;318;27/10/2008;27/10/2008;SNA;DFW;N3CVAA
344;319;25/10/2008;25/10/2008;LGA;ORD;N546AA
345;319;26/10/2008;26/10/2008;LGA;ORD;N583AA
346;319;27/10/2008;27/10/2008;LGA;ORD;N244AA
347;319;25/10/2008;25/10/2008;ORD;MCI;N546AA
348;319;26/10/2008;26/10/2008;ORD;MCI;N583AA
349;319;27/10/2008;27/10/2008;ORD;MCI;N244AA
350;321;25/10/2008;25/10/2008;LGA;ORD;N4WUAA
351;321;26/10/2008;26/10/2008;LGA;ORD;N554AA
352;321;27/10/2008;27/10/2008;LGA;ORD;N589AA
353;321;26/10/2008;26/10/2008;ORD;MSY;N554AA
354;321;27/10/2008;27/10/2008;ORD;MSY;N589AA
355;322;25/10/2008;25/10/2008;DFW;BHM;N587AA
356;322;26/10/2008;26/10/2008;DFW;BHM;N472AA
357;322;27/10/2008;27/10/2008;DFW;BHM;N579AA
358;322;25/10/2008;25/10/2008;PSP;DFW;N587AA
359;322;26/10/2008;26/10/2008;PSP;DFW;N472AA
360;322;27/10/2008;27/10/2008;PSP;DFW;N579AA
361;323;25/10/2008;25/10/2008;BNA;DFW;N576AA
362;323;26/10/2008;26/10/2008;BNA;DFW;N4UCAA
363;323;27/10/2008;27/10/2008;BNA;DFW;N510AA
364;324;25/10/2008;25/10/2008;DFW;JFK;N563AA
365;324;26/10/2008;26/10/2008;DFW;JFK;N562AA
366;324;27/10/2008;27/10/2008;DFW;JFK;N202AA
367;324;26/10/2008;26/10/2008;SAT;DFW;N562AA
368;324;27/10/2008;27/10/2008;XNA;DFW;N202AA
369;325;26/10/2008;26/10/2008;DCA;DFW;N3AKAA
370;325;27/10/2008;27/10/2008;DCA;DFW;N3AJAA
371;325;25/10/2008;25/10/2008;DFW;LAS;N3DDAA
372;325;26/10/2008;26/10/2008;DFW;LAS;N3BXAA
373;325;27/10/2008;27/10/2008;DFW;LAS;N3BVAA
374;327;25/10/2008;25/10/2008;LGA;ORD;N237AA
375;327;26/10/2008;26/10/2008;LGA;ORD;N249AA
376;327;27/10/2008;27/10/2008;LGA;ORD;N419AA
377;328;25/10/2008;25/10/2008;DEN;DFW;N4XRAA
378;328;26/10/2008;26/10/2008;DEN;DFW;N596AA
379;328;27/10/2008;27/10/2008;DEN;DFW;N563AA
380;329;26/10/2008;26/10/2008;LGA;ORD;N456AA
381;329;27/10/2008;27/10/2008;LGA;ORD;N271AA
382;333;25/10/2008;25/10/2008;LGA;ORD;N598AA
383;333;26/10/2008;26/10/2008;LGA;ORD;N517AA
384;333;27/10/2008;27/10/2008;LGA;ORD;N4WUAA
385;333;25/10/2008;25/10/2008;ORD;STL;N598AA
386;333;26/10/2008;26/10/2008;ORD;STL;N4YSAA
387;333;27/10/2008;27/10/2008;ORD;STL;N4YSAA
388;334;25/10/2008;25/10/2008;DFW;BNA;N506AA
389;334;26/10/2008;26/10/2008;DFW;BNA;N524AA
390;334;27/10/2008;27/10/2008;DFW;BNA;N554AA
391;335;25/10/2008;25/10/2008;LGA;ORD;N494AA
392;335;26/10/2008;26/10/2008;LGA;ORD;N248AA
393;335;27/10/2008;27/10/2008;LGA;ORD;N486AA
394;336;25/10/2008;25/10/2008;LAX;ORD;N323AA
395;336;26/10/2008;26/10/2008;LAX;ORD;N5BSAA
396;336;27/10/2008;27/10/2008;LAX;ORD;N622AA
397;336;26/10/2008;26/10/2008;ORD;LGA;N5BSAA
398;336;27/10/2008;27/10/2008;ORD;LGA;N622AA
399;337;25/10/2008;25/10/2008;LGA;ORD;N562AA
400;337;26/10/2008;26/10/2008;LGA;ORD;N434AA
401;337;27/10/2008;27/10/2008;LGA;ORD;N4YEAA
402;337;25/10/2008;25/10/2008;ORD;PDX;N562AA
403;337;26/10/2008;26/10/2008;ORD;PDX;N434AA
404;337;27/10/2008;27/10/2008;ORD;PDX;N4YEAA
405;340;26/10/2008;26/10/2008;DFW;ATL;N3BNAA
406;340;27/10/2008;27/10/2008;DFW;ATL;N3BHAA
407;341;26/10/2008;26/10/2008;LGA;ORD;N559AA
408;341;27/10/2008;27/10/2008;LGA;ORD;N497AA
409;342;25/10/2008;25/10/2008;DFW;BDL;N3ALAA
410;342;26/10/2008;26/10/2008;DFW;BDL;N3CVAA
411;342;27/10/2008;27/10/2008;DFW;BDL;N3CNAA
412;343;25/10/2008;25/10/2008;RIC;DFW;N4WYAA
413;343;26/10/2008;26/10/2008;RIC;DFW;N532AA
414;343;27/10/2008;27/10/2008;RIC;DFW;N474AA
415;345;25/10/2008;25/10/2008;LGA;ORD;N488AA
416;345;26/10/2008;26/10/2008;LGA;ORD;N536AA
417;345;27/10/2008;27/10/2008;LGA;ORD;N585AA
418;346;25/10/2008;25/10/2008;ORD;LGA;N5FJAA
419;346;26/10/2008;26/10/2008;ORD;LGA;N5CPAA
420;346;27/10/2008;27/10/2008;ORD;LGA;N5BSAA
421;346;25/10/2008;25/10/2008;SEA;ORD;N5FJAA
422;346;26/10/2008;26/10/2008;SEA;ORD;N5CPAA
423;346;27/10/2008;27/10/2008;SEA;ORD;N5BSAA
424;347;25/10/2008;25/10/2008;LGA;ORD;N4YDAA
425;347;26/10/2008;26/10/2008;LGA;ORD;N595AA
426;347;27/10/2008;27/10/2008;LGA;ORD;N566AA
427;347;26/10/2008;26/10/2008;ORD;STL;N595AA
428;347;27/10/2008;27/10/2008;ORD;STL;N566AA
429;348;26/10/2008;26/10/2008;DFW;PHL;N449AA
430;348;27/10/2008;27/10/2008;DFW;PHL;N279AA
431;348;25/10/2008;25/10/2008;MFE;DFW;N542AA
432;348;26/10/2008;26/10/2008;MFE;DFW;N449AA
433;348;27/10/2008;27/10/2008;MFE;DFW;N279AA
434;349;25/10/2008;25/10/2008;DFW;FAT;N278AA
435;349;26/10/2008;26/10/2008;DFW;FAT;N516AA
436;349;27/10/2008;27/10/2008;DFW;FAT;N540AA
437;350;25/10/2008;25/10/2008;ELP;ORD;N4XAAA
438;350;26/10/2008;26/10/2008;ELP;ORD;N494AA
