ID;title;production_year
273;Compañeros;1998
274;Composteláns;1989
275;Compuesta y sin novio;1994
276;Con las manos en la masa;1984
277;Con luz propia;1995
278;Con mucha marcha;1997
279;Con música propia;1995
280;Con otro acento;1976
281;Con otro aire;1996
282;Con perdón;1997
283;Con t de tarde;1997
284;Con ustedes... Pedro Ruíz;1992
285;Condenadas a entenderse;1999
286;Confesiones;1994
287;Conocemos España;1978
288;Consumo;1981
289;Contacto con tacto;1992
290;Contigo pan y cebolla;1996
291;Contigo;1988
292;Continuarà...;1996
293;Contraportada;1998
294;Coplas de verano;1996
295;Corazonada;1989
296;Corazón de...;1997
297;Corazón;1989
298;Corazón, corazón;1993
299;Cosas de dos;1984
300;Cosas que importan;1999
301;Cosas;1980
302;Coses de la vida;1999
303;Costeira galega;1985
304;Così cosà;1996
305;Coup de foudre;1988
306;Cousas da lingua;1990
307;Crack!;1996
308;Cremallera;1984
309;Cristina, amiga mía;1999
310;Crocante;1990
311;Cruce de caminos;1998
312;Crònica davui;1999
313;Crònica negra;1988
314;Cròniques de la veritat oculta;1996
315;Crónica joven;1988
316;Crónicas del mal;1992
317;Crónicas marcianas;1997
318;Crónicas urbanas;1991
319;Cuadrilátero;1988
320;Cuarto creciente;1989
321;Cuarto y mitad;1976
322;Cuentos imposibles;1984
323;Cuentos interruptus;1995
324;Cuerda de presos;1996
325;Cultura 2;1975
326;Cultural informativo;1975
327;Curro Jiménez;1976
328;Curso del 99;1999
329;Cuánto cuesta;1999
330;Cuéntame cómo pasó;1995
331;Cyberclub;1997
332;Cámara baja;1993
333;Código Alfa;1998
334;Código uno;1993
335;Cómicos;1987
336;DArtacan y los tres mosqueperros;1981
337;Dark Justice;1991
338;Das Sahara-Projekt;1993
339;Date un respiro;1993
340;David el gnomo;1985
341;De ahora en adelante;1981
342;De carne y hueso;1991
343;De cerca;1980
344;De domingo a domingo;1997
345;De jueves a jueves;1986
346;De la mano de;1985
347;De lo bueno, lo mejor;1995
348;De los buenos, el mejor;1996
349;De mar a mar;1991
350;De moda;1986
351;De par en par;1991
352;De película;1982
353;De perfil;1989
354;De professió: A.P.I.;1988
355;De siete en siete;1985
356;De tal Paco tal astilla;1997
357;De tal palo;1992
358;De todo corazón;1996
359;De toros;1989
360;De tres en tres;1998
361;De tú a tú;1990
362;Debate;1987
363;Debates electorales 1996;1996
364;Del 40 al 1;1990
365;Del Miño al Bidasoa;1990
366;Delfy y sus amigos;1992
367;Deliciosamente absurdos;1983
368;Delirios de amor;1989
369;DeMúsiKa TV;1999
370;Dentro de un orden;1983
371;Deporte para todos;1981
372;Derecho a discrepar;1988
373;Desayuna con alegría;1991
374;Descúbreme;1997
375;Desde Galicia para el mundo;1993
376;Desde Palma con amor;1991
377;Desesperado club social;1999
378;Destino Argentina;1978
379;Destino Plutón;1980
380;Detective Bogey;1994
381;Detrás de la noticia;1990
382;Devórame otra vez;1991
383;Dezine;1998
384;Diario de sesiones;1985
385;Diccionario de la salud;1988
386;Dicciopinta;1990
387;Die zweite Heimat - Chronik einer Jugend;1992
388;Digan lo que digan;1997
389;Digui, digui;1984
390;Dilluns, dilluns;1988
391;Dinamo;1985
392;Ding-Dong;1980
393;Directo elecciones;1996
394;Directo en la noche;1986
395;Directo, directo;1994
396;Directísimo;1975
397;Disperatamente Giulia;1989
398;Diálogos de un matrimonio;1982
399;Do, re, mi;1998
400;Dobles parejas;1996
401;Doctor Caparrós, metge de poble;1982
402;Documentos TV;1986
403;Domingo en rojo;1990
404;Domingueros;1989
405;Domini públic;1997
406;Don Baldomero y su gente;1982
407;Don Juan;1997
408;Don Quijote de la Mancha;1978
409;Don Rock;1990
410;Dones daigua;1997
411;Dora Dora;1994
412;Dos cadenas para tí;1990
413;Dos por dos;1978
414;Dos és massa;1996
415;Dossier;1978
416;Dr. Caparrós, medicina general;1979
417;Dr. Zitbags Transylvania Pet Shop;1994
418;Dret a parlar;1993
419;Drug Wars: The Camarena Story;1990
420;Duplex;1993
421;Duros y reales;1990
422;Día a día;1996
423;Días de cine;1991
424;Dúplex per llogar;1986
425;Edición de tarde;1996
426;Educar hoxe;1998
427;Efecto F;1997
428;El actor y sus personajes;1981
429;El alambique;1989
430;El arte de vivir;1982
431;El baile;1985
432;El bigote de Babel;1987
433;El campo;1975
434;El cangur;1994
435;El canto de un duro;1978
436;El capitá enciam;1994
437;El carro de la farsa;1980
438;El chou;1994
439;El clima y las cuatro estaciones;1994
440;El club de la comedia;1999
441;El club de los listillos;1996
442;El coleccionismo y los coleccionistas;1979
443;El comisario;1999
444;El concurs dels tres dragons;1981
445;El concursazo;1997
446;El consultorio de la Dra. Delgado;1995
447;El coraje de vivir;1994
448;El cronómetro;1999
449;El debate de hoy;1995
450;El destino en sus manos;1995
451;El desván del trasgo;1997
452;El domin... gol;1997
453;El domingo es nuestro;1986
454;El día después;1990
455;El día por delante;1989
456;El día que me quieras;1994
457;El edén;1984
458;El edén;1987
459;El escarabajo verde;1997
460;El español y los siete pecados capitales;1980
461;El espejo mágico;1985
462;El flechazo;1997
463;El friqui;1994
464;El gallinero;1997
465;El gordo;1990
466;El gran circo de Telecinco;1993
467;El gran concurso del siglo;1999
468;El gran juego de la oca;1993
469;El hayedo de Montejo;1994
470;El hombre y la tierra: Serie canadiense;1980
471;El hotel de las mil y una estrellas;1978
472;El imperdible;1997
473;El informal;1998
474;El informe del día;1992
475;El jarama;1994
476;El jardín de Venus;1983
477;El joc de viure;1997
478;El joc del segle;1991
479;El joven Picasso;1993
480;El juego de los errores;1982
481;El juego del euromillón;1998
482;El juglar y la reina;1978
483;El kanguro de A3Z;1997
484;El kiosco;1984
485;El lector;1994
486;El libro gordo de Petete;1981
487;El loco mundo de los payasos;1982
488;El mar y el tiempo;1987
489;El martes que viene;1990
490;El mayorazgo de Labraz;1983
491;El menú de cada día;1992
492;El menú de Karlos Arguiñano;1994
493;El menú del día;1991
494;El mirall;1990
495;El monstruo de Sanchezstein;1977
496;El mundo de Juan Lobón;1989
497;El mundo de la música;1976
498;El mundo de la televisión;1975
499;El mundo es nuestro;1986
500;El món dAriadna;1997
501;El nuevo espectador;1989
502;El obispo leproso;1990
503;El olivar de Atocha;1988
504;El orgullo del tercer mundo;1995
505;El otro arbol de Guernica;1977
506;El peor programa de la semana;1993
507;El perro verde;1988
508;El precio justo;1988
509;El primer café;1996
510;El primijuego;1989
511;El programa de Ana;1994
512;El programa de Carlos Herrera;1996
513;El programa de Hermida;1991
514;El puente;1997
515;El pèndol;1997
516;El Quijote de Miguel de Cervantes;1991
517;El quinto jinete;1975
518;El rastrillo;1995
519;El recreo;1977
520;El regreso de una leyenda;1995
521;El rescate del talismán;1991
522;El retonno;1994
523;El retorno de DArtacan;1990
524;El rondo;1999
525;El ruedo;1989
526;El salero;1990
527;El secreto de la porcelana;1999
528;El semáforo;1995
529;El sexólogo;1994
530;El señor Villanueva y su gente;1979
531;El señorío de Larrea;1999
532;El show de la Diana;1997
533;El show de la una;1992
534;El supergordo;1993
535;El supertren;1991
536;El séptimo cielo;1989
537;El séptimo de caballería;1998
538;El súper;1996
539;El tercer grado;1997
540;El tiempo en que vivimos;1989
541;El tiempo es oro;1987
542;El tiempo pasa, corazón;1999
543;El Tigre de Siberia;1999
544;El trampolín;1994
545;El tren;1982
546;El turista habitual;1993
547;El viatge;1987
548;El xou de la família Pera;1983
549;El ángel caído;1991
550;El último verano;1999
551;Eldíaquemeentiendas;1996
552;Ellas son así;1999
553;Els Grau;1991
554;Empléate a fondo;1996
555;En antena;1997
556;En buena hora;1990
557;En buenas manos;1994
558;En casa con Raffaella;1995
559;En clave actual;1999
560;En color;1982
561;En directe, Mari Pau;1998
562;En directo contigo;1995
563;En el candelabro;1999
564;En escena: 100 anys de teatre català;1985
565;En este país;1981
566;En exclusiva;1997
567;En familia;1987
568;En la cuerda floja;1985
569;En la naturaleza;1987
570;En los límites de la realidad;1993
571;En marcha;1985
572;En otras palabras;1997
573;En paralelo;1982
574;En plena forma;1997
575;En xogo;1996
576;Encantada de la vida;1993
577;Encantados de conocerte;1992
578;Encontros;1986
579;Encuentros con las letras;1976
580;Encuentros en libertad;1982
581;Enfoques;1988
582;Enric, parada i fonda;1985
583;Enrédate;1999
584;Enróllate;1995
585;Entre a terra e a lúa;1999
586;Entre amigos;1985
587;Entre dos fuegos;1998
588;Entre líneas;1988
589;Entre línies;1998
590;Entre Morancos y Omaitas;1997
591;Entre naranjos;1998
592;Entre nós;1986
593;Entre platos anda el juego;1991
594;Entre tú y yo;1997
595;Entrevista con...;1995
596;Epílogo;1998
597;Esa clase de gente;1990
598;Escala internacional;1978
599;Escalera interior, escalera exterior;1986
600;Escenari;1978
601;Escrito en América;1979
602;Escrito para TV;1984
603;Escuela de salud;1975
604;Escuela del deporte;1999
605;Eskualdeak;1987
606;Esos locos bajitos;1998
607;Espacio aberto;1988
608;España... y a por todas;1994
609;Españoles en el Pacífico;1980
610;Españoles;1983
611;Especial fin de ano 1997;1997
612;Espejo público;1996
613;Espejo secreto;1997
614;Esta es mi tierra;1983
615;Esta es su casa;1990
616;Esta noche cruzamos el Mississippi;1995
617;Esta noche Pedro;1986
618;Esta noche;1981
619;Esta noche, fiesta;1976
620;Esta noche, sexo;1995
621;Esta semana;1982
622;Estació denllaç;1994
623;Estadio 2;1984
624;Estamos de vuelta;1995
625;Estamos en directo;1999
626;Estamos todos locos;1994
627;Este no es el programa de los viernes;1998
628;Este país necesita un repaso;1993
629;Este señor de negro;1975
630;Estimada Mary;1992
631;Esto es espectáculo;1994
632;Esto es lo que hay;1985
633;Esto es lo que hay;1995
634;Esto me suena;1999
635;Esto no es lo que parece;1994
636;Esto se anima;1993
637;Esto é noticia;1995
638;Estoc de pop;1984
639;Estress;1991
640;Estudi 8;1992
641;Etcétera;1977
642;Etcétera;1990
643;Eurocops;1988
644;Europa, Europa;1987
645;Eurovisión Siglo XX;1998
646;Eva a las diez;1977
647;Eva y Adán, agencia matrimonial;1990
648;Evocación;1982
649;Exterior día;1981
650;Extra Rosa;1997
651;Extra;1996
652;Extramuros;1988
653;Facer memoria;1998
654;Famosos y familia;1999
655;Fanatico;1992
656;Fantaghiró;1999
657;Fantàstic;1992
658;Fantástico;1978
659;Farmacia de guardia;1991
660;Fatal, fatal, fatal;1991
661;Fe de vida;1992
662;Feitos;1994
663;Fem 40 anys;1999
664;Fem tele;1998
665;Fernández y familia;1998
666;Fes flash!!!;1984
667;Festa amb Rosa Maria Sardà;1979
668;Festa;1997
669;Fetiche;1996
670;Fiebre del domingo noche;1999
671;Fila 7;1983
672;Filiprim;1986
673;Fin de siglo;1985
674;Flamingo Berria;1993
675;Flash, el juego de las noticias;1999
676;Flipping con el zapping;1991
677;FM 2;1988
678;Follow Through;1986
679;Fortunata y Jacinta;1980
680;Força Barça;1994
681;Fragmentos de interior;1984
682;Frontera límite;1994
683;Fuerzas ocultas;1995
684;Función de noche;1995
685;Función de tarde;1994
686;Funtzioa;1989
687;Furor;1998
688;Futbolísimo;1991
689;Fóra de xogo;1994
690;Fútbol en acción;1981
691;Fútbol es fútbol;1994
692;Fútbol Primera División 1997/1998;1997
693;Fútbol Primera División;1996
694;Gaceta cultural;1979
695;Gala del deporte;1996
696;Galegos;1985
697;Galeguidade;1995
698;Galeria de personatges;1991
699;Galeria oberta;1985
700;Galicia de noite;1986
701;Galicia directo;1998
702;Galicia en pé de festa;1991
703;Galicia enteira;1993
704;Galicia máxica;1985
705;Galicia no tempo;1991
706;Galicia terra única;1997
707;Gatos en el tejado;1988
708;Generació D;1997
709;Generación 800;1985
710;Genio y figura;1994
711;Gente con chispa;1999
712;Gente de primera;1993
713;Gente hoy;1976
714;Gente;1995
715;Gimnasia infantil;1995
716;Glasnost;1989
717;Goenkale;1994
718;Gol Nord;1997
719;Gol... y al mundial 82;1981
720;Goles son amores;1992
721;Gomaespuma;1994
722;Goya;1985
723;Gracias pola galega;1992
724;Gracias por todo;1997
725;Gran casino;1989
726;Gran fiesta;1994
727;Gran teatre;1980
728;Grand Prix;1995
729;Grand Slam;1994
730;Griot;1992
731;Habitación 503;1993
732;Hablando claro;1987
733;Hablando con Gemma;1996
734;Hablando se entiende la basca;1991
735;Hablando se entiende la gente;1990
736;Hablemos claro;1999
737;Hablemos de amor;1984
738;Hablemos de sexo;1990
739;Hablemos;1977
740;Hai que ver;1996
741;Hale Bopp;1997
742;Happy House;1999
743;Hasta luego cocodrilo;1991
744;Heart of the Dragon;1985
745;Hermanas;1998
746;Hermanos de leche;1994
747;Hermida y Cía;1993
748;Hip, hip, hipnosis;1994
749;Historias cortas;1990
750;Historias de Infoville;1999
751;Historias de la puta mili;1994
752;Historias de la vida;1995
753;Historias del otro lado;1988
754;Històries de cara i creu;1986
755;Històries obertes;1978
756;Hola chicos;1984
757;Hola, hola, hola;1997
758;Hola, ola;1996
759;Homenaje a Lorca;1985
760;Homenots;1999
761;Hora 15;1977
762;Hora límite;1995
763;Hora punta;1999
764;Horas doradas;1980
765;Horizontes;1977
766;Hospital;1996
767;Hostal Royal Manzanares;1996
768;Hoy de 6 a 7;1990
769;Hoy de mañana;1998
770;Hoy en casa;1998
771;Hoy es posible;1997
772;Hoy por hoy;1976
773;Hoy por tí;1996
774;Humor amarillo;1990
775;Humor cinco estrellas;1991
776;Hyakutake;1998
777;I ara què, Xènia?;1993
778;I misteri della giungla nera;1991
779;Identitats - Rastres;1985
780;Identitats;1984
781;Il giovane Mussolini;1993
782;Il segreto del Sahara;1988
783;Im presionante;1998
784;Imos aló?;1989
785;Imos ver;1986
786;Impacto TV;1997
787;Imágenes perdidas;1991
788;Imágenes prohibidas;1994
789;Imágenes;1978
790;In fraganti;1999
791;Informativo juvenil;1980
792;Informativos Telecinco;1990
793;Informes TVG;1991
794;Inocente, inocente;1992
795;Instinto del asesino;1995
796;Isabel;1996
797;Iñaki los jueves;1990
798;J.M. presenta;1990
799;Ja hi som!;1997
800;Jaun ta jabe;1997
801;Jazz entre amigos;1984
802;Jocs de nit;1992
803;Judes Xanguet i les Maniquins;1988
804;Juega con nosotros;1991
805;Juego de niños;1988
806;Juguemos al trivial;1992
807;Juncal;1989
808;Juntas pero no revueltas;1995
809;Juvenil cultural;1982
810;Karaoke especial estrellas Telecinco;1995
811;Karaoke;1994
812;Ketty no para;1997
813;Kiu i els seus amics;1985
814;Klaatu barada niktó;1996
815;Lart de viure;1993
816;Lavi Bernat;1989
817;Lencyclopédie audio-visuelle;1992
818;Lentrevista;1996
819;Lenvelat;1997
820;Lhora de Mari Pau Huguet;1995
821;Lilla del tresor;1996
822;Linformatiu cap de setmana;1987
823;Linformatiu migdia;1982
824;Linformatiu migdia;1987
825;Linformatiu vespre;1987
826;Lombra nera del Vesuvio;1987
827;Lou o la gallina?;1996
828;La 2 en el teatro;1997
829;La 2 noticias;1994
830;La aventura del saber;1992
831;La aventura humana;1985
832;La banda de Pérez;1997
833;La barberia;1990
834;La barraca;1979
835;La batalla de las estrellas;1993
836;La bola de cristal;1984
837;La bolsa y la vida;1981
838;La botica de la abuela;1997
839;La bruixa avorrida;1998
840;La cara divertida;1997
841;La casa de la guasa;1993
842;La casa de los líos;1996
843;La casa por la ventana;1989
844;La Celestina;1983
845;La cesta de la compra;1986
846;La chistera;1993
847;La claror daurada;1989
848;La clave;1976
849;La clave;1990
850;La cocina de Arguiñano;1995
851;La comedia dramática española;1986
852;La comedia musical española;1985
853;La comedia;1983
854;La cometa blanca;1981
855;La corona mágica;1989
856;La cosa nostra;1999
857;La Cucafera;1981
858;La cueva de los cerrojos;1984
859;La cuina den Miquel;1995
860;La edad de oro;1983
861;La España de los Botejara;1978
862;La España salvaje;1996
863;La estación de Perpignán;1987
864;La forja de un rebelde;1990
865;La Gala 98;1998
866;La gran ilusión;1999
867;La granja;1989
868;La guagua;1975
869;La guardería;1990
870;La hora de Pau;1997
871;La hora de...;1975
872;La hora del lector;1987
873;La hora del TPT;1988
874;La hora H;1996
875;La llamada de la suerte;1998
876;La llamada de los gnomos;1987
877;La Lloll;1993
878;La lluna;1989
879;La loba herida;1992
880;La locomotora;1979
881;La luna;1989
882;La mandrágora;1997
883;La mansión de los Plaff;1979
884;La memoria fértil;1986
885;La memòria dels Cargols;1999
886;La merienda;1990
887;La mirada crítica;1997
888;La máquina de la verdad;1993
889;La máscara negra;1982
890;La nit bruixa;1989
891;La nit del Maremàgnum;1996
892;La noche abierta;1997
893;La noche de Carmen;1998
894;La noche de los castillos;1995
895;La noche de...;1997
896;La noche del cine español;1984
897;La noche por delante;1998
898;La noche prohibida;1996
899;La noche se mueve;1992
900;La noche temática;1995
901;La Noche Tuerta;1999
902;La noche;1989
903;La odisea;1976
904;La orquesta;1984
905;La otra familia;1996
906;La palmera;1988
907;La parada;1989
908;La parodia nacional;1996
909;La picota del mundo;1990
910;La piovra 6 - Lultimo segreto;1992
911;La piraña;1999
912;La plaça de la lluna;1987
913;La porteria;1996
914;La primera respuesta;1993
915;La puerta del misterio;1982
916;La quinta marcha;1990
917;La realidad inventada;1988
918;La regenta;1995
919;La revista de lespectacle;1993
920;La revista;1996
921;La ronda;1991
922;La ruleta de la fortuna junior;1998
923;La ruleta de la fortuna;1990
924;La saga de los Clark;1997
925;La saga de los Rius;1976
926;La salud es lo que importa;1990
927;La segunda oportunidad;1978
928;La semana que viene;1998
929;La senda;1994
930;La señora García se confiesa;1976
931;La sonrisa del pelícano;1997
932;La tarda és nostra;1994
933;La tarde;1983
934;La tarántula;1990
935;La tele es tuya, colega;1994
936;La terra i la cendra;1984
937;La tertulia;1990
938;La transición;1995
939;La trituradora;1999
940;La verdad de...;1979
941;La vida en el aire;1997
942;La vida en un xip;1989
943;La vida es juego;1992
944;La vida según...;1995
945;La vida sigue;1988
946;La virtud del asesino;1997
947;La voz humana;1986
948;La vuelta al mando;1999
949;La vuelta al mundo de Willy Fog;1981
950;La víspera de nuestro tiempo;1981
951;Laberint dombres;1998
952;Labranza;1991
953;Langostino;1987
954;Lapices de colores;1987
955;Lareira;1986
956;Las auténticas aventuras del profesor Thompson;1992
957;Las aventuras de Pepe Carvalho;1986
958;Las aventuras del Hada Rebeca;1976
959;Las buenas noticias;1978
960;Las chicas de hoy en día;1991
961;Las claves;1999
962;Las coplas;1989
963;Las cortes de España;1983
964;Las doce en punta;1989
965;Las lecciones de cocina de Pedro Subijana;1995
966;Las mañanas de Rosa;1999
967;Las mañanas de Tele 5;1993
968;Las mil y una... Américas;1991
969;Las noches de tal y tal;1991
970;Las pícaras;1983
971;Las reglas del juego;1977
972;Las tardes de Alicia;1998
973;Las viudas;1977
974;Laura;1998
975;Le grand secret;1989
976;Lecciones de tocador;1983
977;Lengua viva;1977
978;Lensman: Kozûmosu no daisensô;1987
979;Leo contra todos;1983
980;Les 1000 i una;1997
981;Les chevaux du soleil;1980
982;Les claus de vidre;1986
983;Les guillermines del rei Salomó;1981
984;Les nits de la tieta Rosa;1980
985;Les notícies amb Josep Cuní;1991
986;Les tres bessones;1995
987;Letra pequeña;1984
988;Leña al mono que es de goma;1993
989;Libre y directo;1994
990;Lingo;1993
991;Llave en mano;1991
992;Lleno, por favor;1993
993;Lletres catalanes;1975
994;Llibre dels fets del bon rei en Jaume;1978
995;Lluna de mel;1993
996;Lluvia de estrellas;1995
997;Llévatelo calentito;1995
998;Lo + plus;1995
999;Lo que en tiempos se llevó;1995
1000;Lo que hay que tener;1995
1001;Lo que hay que ver;1997
1002;Lo que necesitas es amor;1993
1003;Lo que yo te cante;1994
1004;Lo tuyo es puro teatro;1998
1005;Locos de atar;1998
1006;Locos por la tele;1990
1007;Locuras de verano;1997
1008;Lola Corazón;1997
1009;Lorca, muerte de un poeta;1987
1010;Los 40 principales;1990
1011;Los aurones;1986
1012;Los años vividos;1992
1013;Los cinco sentidos;1993
1014;Los comunes;1999
1015;Los desastres de la guerra;1983
1016;Los desayunos de TVE;1994
1017;Los domingos por Norma;1992
1018;Los electroduendes;1986
1019;Los episodios;1979
1020;Los espectáculos;1978
1021;Los felices 80;1990
1022;Los Fruittis;1990
1023;Los gozos y las sombras;1981
1024;Los hijos del frío;1991
1025;Los jinetes del alba;1990
1026;Los ladrones van a la oficina;1993
1027;Los libros;1998
1028;Los marginados;1982
1029;Los mitos;1979
1030;Los mundos de Yupi;1988
1031;Los muñegotes;1990
1032;Los negocios de mamá;1997
1033;Los niños no sois tan niños;1976
1034;Los pazos de Ulloa;1985
1035;Los primeros;1994
1036;Los sabios;1983
1037;Los segundos cuentan;1990
1038;Los tres de Antena 3;1991
1039;Los trotamúsicos;1989
1040;Los unos y los otros;1994
1041;Luar;1992
1042;Luces da cidade;1989
1043;Luna de miel;1992
