;name;gender
218;Romero, Mauricio;m
219;Cabrera, Dolores;f
220;Castro, Luisa;f
221;Freixanes, Víctor;m
222;Seixas, Miguel Anxo;m
223;Besada, Montse;
224;Blanco, Antonio;m
225;Cardoza, Fátima;m
226;Casal, Óscar;
227;Cibeira, Fina;
228;Comesaña, Alberto;m
229;Fandiño, Xaime;m
230;Gayoso, Xosé Ramón;m
231;González, Pablo;
232;Lema, Nacho;m
233;Pazos, Sergio;m
234;Regueira, Carlos;
235;Varela, Elvira;f
236;Villanueva, Manuel;m
237;Albendi, José María;
238;Alcázar, Guillermo;
239;Barrera, Carmelo José;
240;Delgado, Eduardo;
241;Martín, Rafael;m
242;Romero, Francisco;m
243;Rupérez, Ezequiel;
244;Sarmiento, Miguel;
245;del Pozo, Ángel;m
246;del Río, José María;m
247;Apaolaza, Joseba;m
248;Barea, Ramón;m
249;Calo, Teresa;f
250;Lizarralde, Amaia;f
251;Panera, Carlos;m
252;Tellería, Patxo;m
253;Alvarez, Juan Luis;m
254;Farré, Jorge;
255;Iriarte, Javier;m
256;Gemio, Isabel;f
257;Valverde, Carlos;m
258;Fernández Ramos, Teresa;f
259;Huinconsult, S.L.;
260;Méndez Zori, Luis;
261;Méndez, Luis;
262;Perez, Gabriela;f
263;Rueda, José María;m
264;Solano, Domingo;
265;Viña, Pablo;m
266;Barranco, María;f
267;Petit, Joaquín;m
268;Sánchez, María Esperanza;f
269;Castaño, José Luis;m
270;Cuadri, Antonio;m
271;Casal, Luz;f
272;Iglesias, Suso;
273;Otero, Julia;f
274;Arozamena, Joaquín;m
275;López, Fernando;m
276;Arredondo, Enric;m
277;Lanau, Maria;f
278;Díaz Polo, Juanjo;m
279;Arús, Alfonso;m
280;Buenafuente, Andreu;m
281;Cárdenas, Javier;m
282;Fernández, Fermí;m
283;Grau, Oriol;m
284;Mas, Sergi;m
285;Salvador, Jorge;m
286;Toledo, Goya;f
287;Hurtado, Fernanda;f
288;Hurtado, Paloma;f
289;Hurtado, Teresa;f
290;Sevilla, Lolita;f
291;Vidal, María;f
292;de Triana, Marifé;f
293;Costa, Pedro;m
294;Mateo, Rosa María;f
295;Abad, Marisa;f
296;Griñán, Octavio;
297;Vindel, Daniel;m
298;Baqueado, Carmen;f
299;Bernely, Juan;m
300;Puig, Miqui;m
301;Serrano Sánchez, Maribel;f
302;Francia, Clara Isabel;f
303;Hernández, Susana;f
304;Serrano, Federico García;
305;Vázquez, Javier;m
306;Cobo, Eva;f
307;Corsini, Antonio;
308;Estarreado, Mónica;f
309;García, Raimundo;
310;Gómez, Lina;
311;Hernández, Ana;f
312;Jongen, Pascal;
313;Molina, Inma;f
314;Montes, Luis;m
315;Mora, Pepe;
316;Navas, Alejandra;f
317;Palencia, Elio;
318;Pérez, Carla;f
319;Reyes, Pepe;m
320;Rivera, Fernando Juan;
321;Rubio, Juan Carlos;m
322;Tejón, Raúl;m
323;Topera, Janfri;m
324;Zaramella, Eduardo;
325;Bofill, Mercè;m
326;Costa, Roser;
327;Escartín, Pepi;
328;Farré, Maria Lluïsa;
329;Cabrera, José;m
330;Gómez, Agustín;m
331;Sánchez, José Manuel;m
332;Tardón, María;f
333;de Vicente, Beatriz;f
334;Gerrikabeitia, Alberto;
335;Portela, Joxe;
336;Torres, Daniel;
337;del Río, Caelo;
338;Aguilar, Inmaculada;f
339;Baras, Sara;f
340;Herrero, Óscar;m
341;Molina, Alba;f
342;Sánchez, Paco;m
343;Villar, Juan;m
344;del Compás, Mártires;m
345;Anderson, Miles;m
346;Andreu, Simón;m
347;Armstrong, William;m
348;Borrachero, Alicia;f
349;Brusca, Luis;m
350;Burt, Chris;m
351;Carrillo, Fernando;m
352;Charansonnet, Joan Frank;m
353;Childs, Ted;m
354;Clarke, Warren;m
355;Corton, Eric;m
356;Courtney, George;m
357;Elorriaga, Xabier;m
358;Folk, Abel;m
359;Forgeham, John;m
360;Hanson, Richard;m
361;Healey, Mary;f
362;Hey, Stan;m
363;Holmes, Jon;
364;Hunnisett, Caroline;f
365;Jiménez, Alberto;m
366;Kavanagh, Christine;f
367;Knight, Richard;m
368;Lago, Ignacio;m
369;Lesniak, Janek;m
370;Lineker, Gary;m
371;Linuesa, Josep;m
372;Mapletoft, Richard;m
373;Matthews, Chris;m
374;McInnerny, Lizzy;f
375;McKenna, James;m
376;McKenna, Mark;m
377;Mollà, Jordi;m
378;Montserrat, Marc;m
379;Munn, Colin;
380;ONeill, Ken;
381;Opacic, Paul;m
382;Owen, Lloyd;m
383;Prinz, Isabel;f
384;Puertas, José Luis;m
385;Rey, Franco;m
386;Rueda, Juan;
387;Rush, Jason;m
388;Salaman, Clara;f
389;Salkey, Jason;m
390;Sanders, Chris;m
391;Sheldon, Ralph;
392;Stamp, Siobhan;f
393;Vaughan, James;m
394;Carratalá, Rafael;
395;Goytisolo, Juan;m
396;Martínez, Diego;m
397;de la Cueva, Rafael;m
398;Clarós, Montse;
399;Groizard, Ricardo;
400;Nicolas, Noelia;
401;Bas, Joan;m
402;Braguinsky, Diego;m
403;Mainat, Josep Maria;m
404;Pastor, Rosana;f
405;Alvés, Luis Fernando;m
406;Salomé;f
407;Balletbò-Coll, Marta;f
408;Pera, Joan;m
409;Santos, Miguel de los;m
410;Pamos, Xoel;m
411;Barragán, Modesto;m
412;Cremades, Rafael;m
413;Díaz de la Guardia, Fernando;m
414;Bascuñana, José M.;m
415;Becerra, Antonio;m
416;Bernal, Antonio Miguel;m
417;Cano, Luis;
418;Carmona, Rosario;f
419;Elorza, Antonio;m
420;Figueroa, Gonzalo;m
421;García Rúa, José Luis;m
422;Gil Benítez, Manuel;m
423;Gil Martínez, Lorenzo;m
424;González Sanz, Antonio;m
425;López, Pedro Miguel;m
426;Martín Pascual, Pablo;
427;Martín Patino, Basilio;m
428;Matos, Antonio;m
429;Molina, Sebastián;m
430;Muñoz Suay, Ricardo;m
431;Pardo, Fernando;m
432;Pemia, José;m
433;Portero, José M.;m
434;Pérez Claro, Antonio;m
435;Shave, Reginald;m
436;Sánchez Martín, Carmelo;m
437;Villafruela, Ana;f
438;de Soto, Ramón;m
439;Medina, Marisa;f
440;Castillo, Curro;m
441;López Amor, Jaime;
442;Quintana, Rosa;f
443;Begoña, Mary;f
444;Blaki;m
445;Cecilio, Francisco;m
446;Duval, Norma;f
447;Gallardo, Manuel;m
448;García de la Vega, Fernando;m
449;Kosty, María;f
450;Osinaga, Pedro;m
451;del Real, Alfonso;m
452;Carbajo, José;
453;Díez Moro, Javier;
454;Felipe, Pilar;f
455;Huete, Charo;
456;Lahera, Tomás;
457;Ocaña, Ángel;
458;Pecharromán, Carolina;f
459;Tallante, Miguel A.;
460;Alleres, Carlos;
461;Cadaval, Quico;m
462;Calvo, Evaristo;m
463;Piñeiro, Miguel;
464;Vázquez, Patricia;f
465;Mariolga;m
466;Planetas, Expolio los;m
467;Vampirela;f
468;Zurdos, Tahures;m
469;Arrocet, Bigote;m
470;Coll, Javier;m
471;Dufour, Adolfo;m
472;Isanta, Eva;f
473;Mota, José;m
474;Muñoz, Juan;m
475;Velasco, Secundino F.;
476;Callaved, Maruja;f
477;Parada, José Manuel;m
478;Fernán, Fidel;m
479;Giménez-Arnau, Jimmy;m
480;González, Avelino;m
481;Pego, Susana;
482;Rodríguez, María Xosé;f
483;Rouco Varela, Antonio María;m
484;Ruiz Mateos, José María;m
485;Torres, Maruja;f
486;Bosch, Jordi;m
487;Goulart, Susana;f
488;Pla, Quimet;m
489;Pérez, Albert;m
490;Renom, Rosa;f
491;Soler, Lluís;m
492;Trias, Artur;m
493;Barciela, Mercedes;f
494;Blanco, Uxía;f
495;Dans, Susana;f
496;Jestal, Dr.;m
497;Kiro, Ana;f
498;Parada, Carmen;f
499;Pujalte, María;f
500;Beltran, Jordi;m
501;Pons, J.A.;
502;Poppy, Andrew;
503;Bufill, Juan;m
504;Ferradáns, Anxos;
505;Perozo Porteiro, Xosé Antón;m
506;Sardiña, Xoán R.;
507;Soriano, Mari Cruz;f
508;Cotelo, Juan Manuel;m
509;Herrera, Carlos;m
510;Navarrete, Fernando;
511;Garcillan, Gema Fernández;f
512;Muñoz, José Antonio García;m
513;Segade, Javier;m
514;Andrea, Norma;f
515;Font, Jaime;m
516;Landi, Maragrita;f
517;Paredes, Fernando P.;
518;Roy, Ana Belén;f
519;Sanmatías, Toni;m
520;Cruyff, Johan;m
521;Díaz, Xavi;m
522;González, Carles;m
523;Pareja, Verónica;f
524;Fernández, Matilde;m
525;Sabala, Julio;m
526;Barreiro, Pablo;
527;Brión, Elisa;f
528;Mora, Irene;f
529;Osborne, Bertín;m
530;Puturrú de Fuá;m
531;Rodríguez, Rogelio;
532;Vázquez, Bernardo J.;m
533;Cabaleiro, Alfonso;m
534;Durán, Xosé;f
535;Fontenla, Begoña;f
536;Vicente, Luis Miguel;m
537;Aguirresarobe, Javier;m
538;Laboa, Mikel;m
539;Manuel, Víctor;m
540;Pérez Reina, Antonio;
541;Rodríguez, Silvio;m
542;Gorgues, Maria;f
543;Palomares, Dani;
544;Andrés, Silvia;f
545;Martí, Inka;f
546;Mengod, Verónica;f
547;Sánchez, José Ramón;m
548;Fábregas, Elsa;f
549;Martí Maqueda, Pepa;
550;Mainat, Joan Ramon;m
551;Padilla, Paz;f
552;Comesaña, Pilar;
553;Flores, Lola;f
554;Jato, Silvia;f
555;Montiel, Sara;f
556;Novo, Francisco;m
557;Peret;m
558;Princess Caroline of Monaco;f
559;Souto, Xurxo;m
560;Villacastín, Rosa;f
561;Barkley, Charles;m
562;Baumann, Dieter;m
563;Becker, Boris;m
564;Bird, Larry;m
565;Bruce, Wendy;f
566;Capriati, Jennifer;f
567;Christie, Linford;m
568;Dawes, Dominique;f
569;Devers, Gail;f
570;Devlin, Paul;
571;Drechsler, Heike;f
572;Egerszegi, Krisztina;f
573;Evans, Janet;f
574;Fischer, Birgit;f
575;Garciaparra, Nomar;m
576;Graf, Steffi;f
577;Gunnell, Sally;f
578;Gutsu, Tatiana;f
579;Henkel, Heike;f
580;Henry, Mark;m
581;Howard, Beth;
582;Johnson, Magic;m
583;Jordan, Michael;m
584;Jovtchev, Jordan;m
585;Joyner, Jackie;f
586;Lewis, Carl;m
587;Li, Xiaoshuang;m
588;Lu, Li;f
589;Lysenko, Tatiana;f
590;Matsuoka, Shuzo;m
591;Miller, Shannon;f
592;Milosovici, Lavinia;f
593;Minkoff, Michael;
594;Okino, Betty;f
595;Perkins, Kieren;m
596;Pippen, Scottie;m
597;Popov, Alexander;m
598;Pérec, Marie-Jo;f
599;Redgrave, Steve;m
600;Roethlisberger, John;m
601;Scherbo, Vitaly;m
602;Stich, Michael;m
603;Strug, Kerri;f
604;Thompson, Jenny;f
605;Torrence, Gwen;f
606;Winn, Jeff;
607;Wolfinger, Joann;f
608;Yang, Bo;f
609;Zmeskal, Kim;f
610;de Borbón, Juan Carlos;m
611;van Almsick, Franziska;f
612;Balser, Robert;
613;Bonnici, Peter;
614;Brooke-Taylor, Tim;m
615;Coates, John;m
616;Derry, Claire;
617;Enfield, Harry;m
618;Frechter, Colin;
619;Grant, Taylor;
620;Hamilton, David;
621;Kopper, Lisa;
622;Lewis, Shirley-Anne;
623;Lodge, Reg;
624;McCue, Ian;
625;Pallejá, José;
626;Ravens, Jan;f
627;Reitel, Enn;m
628;Taltavull, Julio;
629;Alcaide, Jesús;m
630;Ametllé, Ruben;m
631;Bentallé, Joan;m
632;Calleja, Sergi;m
633;Camacho, José Enrique;m
634;Castro, Isabel;m
635;Cerdà, Daniel;m
636;Cohen, Emma;f
637;Colomer, Imma;f
638;Copons, Jaume;m
639;Gabriel, Ruth;f
640;Goyanes, Conchita;f
641;Higueras, Cristina;f
642;Martínez, Petra;f
643;Mayor, Roberto;m
644;Murillo, July;
645;Olier, Mari Luz;f
646;Osuna, Susana;f
647;Rebellón, Jordi;m
648;Riesgo, José;m
649;Ripeu, Miquel Àngel;m
650;Roig, Glòria;f
651;Ruyman, Jesús;m
652;Sevilla, Toni;m
653;Sánchez, Juan Ramón;m
654;Torets, Antonio;
655;Vallejo, Alfonso;m
656;Vidal, Jose María;m
657;Vivares, Chelo;f
658;Ferreño, Andoni;m
659;Flores, Mar;f
660;Sanz, Maribel;f
661;Rubio, Àlbert;
662;Alonso, Anabel;f
663;Angulo, Álex;m
664;Barko, Patxi;m
665;Elejalde, Karra;m
666;Pasquin, Marcos;
667;Sardà, Javier;m
668;Berasategui, Jox;m
669;Gabarain, Ane;f
670;Garmendia, Mikel;m
671;Irureta, Elena;f
672;Lizeaga, Niko;m
673;Olasagasti, Eneko;m
674;Soroiz, José Ramón;m
675;Zabala, Carlos;m
676;Sánchez Dragó, Fernando;m
677;Abollo, Xullo;
678;Canal, Óscar;
679;García Rego, Pilar;f
680;Iglesias, Elena;
681;Maceiras, Cady;
682;Muíña, Cova;
683;Pagazaurtundúa, Kepa;
684;Pardo, Nuria;f
685;Paredes, Manuel;
686;Pereira, Roberto;m
687;Pérez, Lola;
688;Rodríguez, Pilar;m
689;Sanmartín, Ana Isabel;
690;Villares, Manuel;
691;Vázquez, Arximiro;
692;Vázquez, Merchi;
693;Cartes, Marc;m
694;Claramunt, Aurora;f
695;Biescas, Àngel;
696;Cirici, David;m
697;Español, Piti;m
698;López, Juan Eduardo;m
699;Pardo, Sergi;m
700;Zanni, Elisabeth;f
701;Alexandre, Manuel;m
702;Alonso, Ramiro;m
703;Amores, Rosita;f
704;Aparicio, Laura;f
705;Collado, Cristina;f
706;Cubero, Félix;m
707;Dechent, Antonio;m
708;Eced, Guillermo;m
709;Elgea, Borja;m
710;Fenollar, Cristina;f
711;Ferrer, Empar;f
712;Fuster, Bernardo;m
713;Granado, Félix;m
714;Guinyol, Pep;m
715;Hipólito, Carlos;m
716;Huesca, Fernando;m
717;Iglesias, Carlos;m
718;Isbert, Tony;m
719;Lozano, Mabel;f
720;Mendo, Luis;m
721;Morales, Inés;f
722;Pastor, Maite;f
723;Penella, Emma;f
724;Pons, Mercè;f
725;Pérez, Pape;m
726;Ramírez, Alicia;f
727;Resines, Antonio;m
728;Salvi, Julio;m
729;Sarro, Paco;m
730;Toledo, Guillermo;m
731;Vila, Paco;m
732;Walls, Rosanna;f
733;Aragón, Emilio;m
734;Camba, Xabier;m
735;Castaño, Pepe Domingo;m
736;Dans, Rosalía;f
737;Debesa, Xabier;m
738;Goyanes, María José;f
739;Ibáñez Serrador, Narciso;m
740;Lorenzo, Cándido;m
741;Paz Antón, Xosé Ramón;m
742;Pereiro, Ricardo;m
743;Rodríguez, Antón;m
744;Biern Boyd, Claudio;m
745;De Angelis, Guido;m
746;De Angelis, Maurizio;m
747;Zwart, Henk;
748;Zwart, Nerida;
749;Gené, Carles;
750;Uviedo, Albert;
751;Andreu, Rosa;f
752;Arcarazo, Lluís;m
753;Banacolocha, Jordi;m
754;Barceló, Xesc;m
755;Cortés, Eduard;m
756;Díez, Sílvia;
757;Escurriola, Alicia;f
758;Estruch, Xus;f
759;Terrades, Tomeu;
760;de Marchi, Miquel;m
761;de Paula, Francesc;
762;Arroyo, Esther;f
763;Lazarov, Valerio;m
764;Rollán, Pedro;m
765;Urreaga, Iñigo;
766;García Abril, Antón;m
767;Gouram, Zakariya;m
768;Linero, Franky;m
769;Schlim, Jean-Claude;m
770;Madrid, Juan;m
771;Masó, Pedro;m
772;Requena, Isidro F.;
773;Soto, F. Javier;
774;Ulloa, Alejandro;m
775;Gálvez, Francine;f
776;Martínez Soler, José Antonio;m
777;Pascual, Maite;f
778;Piqueras, Pedro;m
779;Sutherland, Sandra;f
780;Sánchez, Elena;f
781;Caballero, Javier;
782;Gutierrez, Alipio;m
783;Enríquez, Belén;f
784;Escobar, Manolo;m
785;Llorca, Kin;m
786;Lizcano, Pablo;m
787;Roig, Montserrat;f
788;Vázquez, Yolanda;f
789;González, Secundino;m
790;Arroyo, Juan Carlos;
791;Candebat, Wilfredo;m
792;Cascales, Carlos;
793;Duany, Monse;f
794;Frade, Alejandra;
795;Frade, José;m
796;Ganga, José Miguel;m
797;Gómez, Óscar;m
798;Hermoso, Miguel;m
799;López Vázquez, José Luis;m
800;Martín, Elena;f
801;Ramos, Santiago;m
802;Rodríguez, Israel;m
803;Trenas, Tote;m
804;Dávila, Santiago;m
805;Lodeiro, Paco;m
806;Bonamino, Pipo;m
807;Andrés López, Ángel de;m
808;Cepeda, Laura;f
809;Díaz-Aroca, Miriam;f
810;Fernández Muro, Marta;f
811;Herrero, Rafael;m
812;Martín, Lucas;m
813;Miramón, Iñaki;m
814;Julien, Josep;m
815;López, Ricky;m
816;Reguera, Antonio;m
817;Aragón, Rody;m
818;Fofito;m
819;Obregón, Ana;f
820;Stuven, Hugo;m
821;Escudero, Enrique;m
822;Onetti, Antonio;m
823;Angosse, Ginette;f
824;Arias, Imanol;m
825;Arribas, Fernando;m
826;Arristegui, María Eugenía;f
827;Baker, Michael;
828;Bergmann, Tim;m
829;Brendler, Julia;f
830;Burr, Richard;m
831;Caballe, David;
832;Calleja, Juan;m
833;Callejo, Luis;m
834;Causley, Maralyn;
835;De La Rosa, Grace;f
836;Duggan, James;m
837;Estiz, Brian;m
838;Fernandez-Qundez, Jean-Daniel;
839;Garcia-Rodrigo, David;
840;Henziger, Henrik;
841;Heston, Charlton;m
842;Hoare, Patrick;
843;Jamieson, Emma J.;
844;Jiménez, Emilio;
845;Juaniz, María;f
846;Jurado, Marta;f
847;Jurado, María;f
848;Leguizamo, Ricardo;m
849;Leiva, Eduardo;m
850;Lázaro, Diana;f
851;López Rodero, José;m
852;Makatsch, Heike;f
853;Martín, Eloísa;f
854;Molínos, Carolina;f
855;Montoro, Esther;f
856;Moreno, Aurora;f
857;Mouro, Encarnación;f
858;Newsum, Mark;m
859;Núñez, Pío;
860;Olivares, Javier;m
861;Olivares, Pablo;
862;Orozco, Humberto;m
863;Pappé, Stuart H.;m
864;Prada Garrudo, Juanlo;m
865;Páez, Javier;m
866;Pérez-Reverte, Arturo;m
867;Quinn, Lorenzo;m
868;Rafter, Denis;m
869;Romero, Leigh Kennicott;
870;Roost-Macias, Holger;
871;Rubio, Verónica;f
872;Sagone, José María;m
873;San Martín, Manuel;m
874;Sanromán, Blanca;f
875;Thompson-Ashworth, Mark;m
876;Torres, Samantha;f
877;Velasco, Manuela;f
878;Villaescusa, Florentino;
879;Vázquez, Rafael;m
880;Wagner, Robert;m
881;Ybarra, Ramón;m
882;Young, Robert;
883;de Almeida, Joaquim;m
884;von Kessel, Sophie;f
885;Álvarez, Leticia;f
886;Álvarez, Santiago;m
887;Acaso, Fernando;m
888;Alcayde, Carmen;f
889;Carbonero, Sara;f
890;Casany, Maribel;f
891;Castro, María;f
892;Esteban, Belén;f
893;Fernández, Marta;f
894;Ferre, Carolina;f
895;Fuentes, Manel;m
896;González, Jordi;m
897;Gálvez, Christian;m
898;Lobato, Antonio;m
899;Lozano, Carlos;m
900;Mallol, Soledad;f
901;Martín, Javier;m
902;Milá, Mercedes;f
903;Muro, David Venancio;m
904;Núñez, Carlos;m
905;Núñez, Ruth;f
906;Rubio, Pilar;f
907;Ruíz, Norma;f
908;Sevilla, Carmen;f
909;Sáez, María José;f
910;Tous, Alejandro;m
911;Valenzuela, Laura;f
912;Vázquez, Jorge Javier;m
913;de la Cámara, Daniel;m
914;Íñigo, José María;m
915;Berlanga, Consuelo;f
916;Calzada, Chiquito de la;m
917;Carrascal, José María;m
918;Carreño, Manu;m
919;Carrol, Pepe;m
920;Daviú, Sandra;f
921;García, Eduardo;m
922;García, Ramón;m
923;Garrido, Antonio;m
924;Gómez, Eduardo;m
925;Hidalgo, Antonio;m
926;Martínez, Mónica;m
927;Miró, Kira;f
928;Montero, Patricia;f
929;Piquero, Minerva;f
930;Prats, Matías;m
931;Raphael;m
932;Romero, Vanessa;f
933;Saura, Mar;f
934;Guilera, Lluís;m
935;Lambea, Olga;f
936;Pérez-Aranda, Beatriz;f
937;Sánchez-Rubio, Fernando;
938;Dasz, Andrew;m
939;Dasz, Steven;m
940;Lero, Daniel;m
941;Monforte, José Luis;
942;Dann, Georgie;m
943;Ortega, Palito;m
944;Pastor, Paco;m
945;Rodríguez, Lalo;m
946;Ronald, Tony;m
947;Tres Sudamericanos, Los;m
948;del Carmen Goñi, María;f
949;Algora, Francisco;m
950;Candel, Francisco;m
951;Ciges, Luis;m
952;Brizas, Paco;
953;Herraiz, Roberto;
954;Parra, Julio;
955;Ruiz, Emilio;
956;Segura, Santiago;m
957;Bonezzi, Bernardo;m
958;Celada, Fede;m
959;Gamazo, Aquilino;m
960;Menéndez, Ites;f
961;Orellana, Rocío;f
962;Pons, Ramón;m
963;Risueño, Ana;f
964;Verdú, Maribel;f
965;de la Torre, Antonio;m
966;Ayllón, Ignacio José;
967;Balagué, Carmen;m
968;Bertoli, José Antonio;
969;Carvajal, Amparo;f
970;Chapman, Lia;f
971;Cid, Sixto;m
972;Fernández Pardo, Javier;
973;Gavasa, Luisa;f
974;Herrero, Jorge;m
975;Jiménez, Fran;
976;Laffond, Diana;
977;Lagos, Vicky;f
978;Marsó, Silvia;f
979;Martín, María;f
980;Merlo, Luis;m
981;Moya, Blas;m
982;Muñoz, Manuel;
983;Naranjo, Alejandro;m
984;Navarro, Berto;m
985;Pardo, José María;m
986;Picabea, Íñigo;m
987;Piñeiro, Carlos;m
988;Plana, Ángel;m
989;Puchol, Pilar;f
990;Rincón, José;m
991;Ruiz, Ino;m
992;Sánchez, Manuel;m
993;de Blas, Enrique;
994;de la Fuente, Antonio;m
995;Álvarez, Luis Rubén;m
996;Aguilera, Sergio;m
997;Guerricaechevarría, Jorge;m
