ID_INCIDENCIA;ID_VUELO;Tipo;Causa;Tiempo
100;36707;DESVIO;;60
101;36708;DESVIO;;136
102;36709;DESVIO;;175
103;36710;DESVIO;;118
104;36711;DESVIO;;152
105;36712;DESVIO;;226
106;36713;DESVIO;;100
107;36714;DESVIO;;166
108;36715;DESVIO;;152
109;36716;DESVIO;;174
110;36717;DESVIO;;141
111;36718;DESVIO;;129
112;36719;DESVIO;;149
113;36720;DESVIO;;191
114;36721;DESVIO;;42
115;36722;DESVIO;;121
116;36723;DESVIO;;98
117;36724;DESVIO;;107
118;36725;DESVIO;;184
119;36726;DESVIO;;140
120;36727;DESVIO;;166
121;36728;DESVIO;;109
122;45706;DESVIO;;
123;45707;DESVIO;;113
124;47855;DESVIO;;
125;47856;DESVIO;;307
126;323;CANCELADO;Carrier;
127;328;CANCELADO;Carrier;
128;449;CANCELADO;Carrier;
129;673;CANCELADO;Carrier;
130;708;CANCELADO;Carrier;
131;756;CANCELADO;Carrier;
132;1059;CANCELADO;Carrier;
133;1563;CANCELADO;National Air System;
134;1712;CANCELADO;Carrier;
135;2125;CANCELADO;Carrier;
136;2221;CANCELADO;Carrier;
137;2277;CANCELADO;National Air System;
138;2388;CANCELADO;Carrier;
139;2447;CANCELADO;National Air System;
140;2545;CANCELADO;National Air System;
141;2558;CANCELADO;National Air System;
142;2762;CANCELADO;Carrier;
143;2924;CANCELADO;Carrier;
144;4099;CANCELADO;Carrier;
145;4367;CANCELADO;Carrier;
146;4411;CANCELADO;National Air System;
147;4824;CANCELADO;Weather;
148;4827;CANCELADO;Weather;
149;4837;CANCELADO;Carrier;
150;4840;CANCELADO;Weather;
151;4878;CANCELADO;Carrier;
152;4881;CANCELADO;Carrier;
153;4912;CANCELADO;Weather;
154;4913;CANCELADO;Weather;
155;4914;CANCELADO;Weather;
156;4915;CANCELADO;Weather;
157;4916;CANCELADO;Weather;
158;4964;CANCELADO;Carrier;
159;4976;CANCELADO;Carrier;
160;4994;CANCELADO;Carrier;
161;5009;CANCELADO;Carrier;
162;5023;CANCELADO;Carrier;
163;5044;CANCELADO;Carrier;
164;5247;CANCELADO;Carrier;
165;5249;CANCELADO;Carrier;
166;5266;CANCELADO;Carrier;
167;5267;CANCELADO;Carrier;
168;5282;CANCELADO;Carrier;
169;5292;CANCELADO;Carrier;
170;5353;CANCELADO;Carrier;
171;5419;CANCELADO;Carrier;
172;5480;CANCELADO;Carrier;
173;5483;CANCELADO;Carrier;
174;5674;CANCELADO;Carrier;
175;5918;CANCELADO;Weather;
176;5936;CANCELADO;Weather;
177;5940;CANCELADO;Weather;
178;5962;CANCELADO;Weather;
179;5971;CANCELADO;Weather;
180;6005;CANCELADO;Weather;
181;6073;CANCELADO;Weather;
182;6126;CANCELADO;Weather;
183;6154;CANCELADO;Weather;
184;6157;CANCELADO;Weather;
185;6160;CANCELADO;Weather;
186;6188;CANCELADO;Weather;
187;6196;CANCELADO;Weather;
188;6776;CANCELADO;Weather;
189;6782;CANCELADO;Weather;
190;6788;CANCELADO;Weather;
191;6802;CANCELADO;Weather;
192;6871;CANCELADO;Weather;
193;6875;CANCELADO;Weather;
194;6971;CANCELADO;Weather;
195;6974;CANCELADO;Weather;
196;6979;CANCELADO;Weather;
197;6988;CANCELADO;Weather;
198;6990;CANCELADO;Weather;
199;6994;CANCELADO;Weather;
200;7006;CANCELADO;Carrier;
201;7007;CANCELADO;Weather;
202;7207;CANCELADO;Weather;
203;7212;CANCELADO;Weather;
204;8494;CANCELADO;National Air System;
205;8759;CANCELADO;National Air System;
206;8850;CANCELADO;Carrier;
207;9636;CANCELADO;Carrier;
208;9691;CANCELADO;National Air System;
209;9825;CANCELADO;Carrier;
210;9933;CANCELADO;Carrier;
211;10018;CANCELADO;National Air System;
212;11033;CANCELADO;Carrier;
213;11227;CANCELADO;Carrier;
214;11471;CANCELADO;Carrier;
215;11621;CANCELADO;Carrier;
216;11645;CANCELADO;Carrier;
217;11743;CANCELADO;Carrier;
218;11749;CANCELADO;Carrier;
219;11750;CANCELADO;Carrier;
220;11758;CANCELADO;Carrier;
221;11759;CANCELADO;Carrier;
222;11761;CANCELADO;Carrier;
223;11762;CANCELADO;Carrier;
224;11769;CANCELADO;Carrier;
225;11771;CANCELADO;Carrier;
226;11772;CANCELADO;Carrier;
227;11780;CANCELADO;Carrier;
228;11811;CANCELADO;Carrier;
229;11817;CANCELADO;Carrier;
230;11905;CANCELADO;Carrier;
231;12437;CANCELADO;Carrier;
232;12502;CANCELADO;Carrier;
233;12832;CANCELADO;Carrier;
234;13057;CANCELADO;Weather;
235;13100;CANCELADO;Carrier;
236;13208;CANCELADO;Carrier;
237;13417;CANCELADO;Carrier;
238;13478;CANCELADO;Carrier;
239;13823;CANCELADO;Carrier;
240;14477;CANCELADO;Carrier;
241;15902;CANCELADO;Carrier;
242;16038;CANCELADO;Carrier;
243;16050;CANCELADO;Carrier;
244;16059;CANCELADO;Carrier;
245;16345;CANCELADO;Carrier;
246;16348;CANCELADO;Carrier;
247;16354;CANCELADO;National Air System;
248;16671;CANCELADO;Carrier;
249;16673;CANCELADO;Carrier;
250;16813;CANCELADO;Carrier;
251;17493;CANCELADO;Carrier;
252;17496;CANCELADO;Carrier;
253;18001;CANCELADO;Carrier;
254;18016;CANCELADO;Carrier;
255;18511;CANCELADO;Carrier;
256;18519;CANCELADO;Weather;
257;18580;CANCELADO;Weather;
258;18583;CANCELADO;Weather;
259;18610;CANCELADO;Weather;
260;18687;CANCELADO;Weather;
261;18690;CANCELADO;Weather;
262;18756;CANCELADO;Carrier;
263;18771;CANCELADO;Weather;
264;18774;CANCELADO;Weather;
265;18803;CANCELADO;National Air System;
266;18835;CANCELADO;Carrier;
267;18844;CANCELADO;National Air System;
268;18846;CANCELADO;Carrier;
269;19244;CANCELADO;Carrier;
270;19570;CANCELADO;Carrier;
271;20138;CANCELADO;Carrier;
272;20139;CANCELADO;National Air System;
273;20150;CANCELADO;National Air System;
274;20451;CANCELADO;National Air System;
275;20544;CANCELADO;Carrier;
276;20545;CANCELADO;National Air System;
277;20736;CANCELADO;National Air System;
278;20741;CANCELADO;National Air System;
279;20841;CANCELADO;Carrier;
280;20888;CANCELADO;National Air System;
281;20971;CANCELADO;National Air System;
282;21005;CANCELADO;Carrier;
283;21056;CANCELADO;National Air System;
284;21179;CANCELADO;National Air System;
285;21181;CANCELADO;National Air System;
286;21188;CANCELADO;National Air System;
287;21194;CANCELADO;National Air System;
288;21214;CANCELADO;Carrier;
289;21222;CANCELADO;Carrier;
290;21249;CANCELADO;National Air System;
291;21262;CANCELADO;National Air System;
292;21264;CANCELADO;Carrier;
293;21324;CANCELADO;National Air System;
294;21475;CANCELADO;National Air System;
295;21558;CANCELADO;Weather;
296;21562;CANCELADO;National Air System;
297;21567;CANCELADO;National Air System;
298;21570;CANCELADO;National Air System;
299;21576;CANCELADO;National Air System;
300;21585;CANCELADO;National Air System;
301;21607;CANCELADO;National Air System;
302;21610;CANCELADO;National Air System;
303;21620;CANCELADO;National Air System;
304;21630;CANCELADO;National Air System;
305;21655;CANCELADO;Carrier;
306;21676;CANCELADO;National Air System;
307;21686;CANCELADO;National Air System;
308;21691;CANCELADO;National Air System;
309;21693;CANCELADO;National Air System;
310;21712;CANCELADO;National Air System;
311;21715;CANCELADO;National Air System;
312;21720;CANCELADO;National Air System;
313;21724;CANCELADO;Weather;
314;21727;CANCELADO;Weather;
315;21743;CANCELADO;National Air System;
316;21749;CANCELADO;National Air System;
317;21752;CANCELADO;National Air System;
318;21803;CANCELADO;National Air System;
319;21827;CANCELADO;Weather;
320;21860;CANCELADO;Weather;
321;21867;CANCELADO;Weather;
322;21925;CANCELADO;Weather;
323;21989;CANCELADO;National Air System;
324;21991;CANCELADO;National Air System;
325;21992;CANCELADO;Weather;
326;24403;CANCELADO;Weather;
327;24412;CANCELADO;Weather;
328;24418;CANCELADO;Weather;
329;24419;CANCELADO;Weather;
330;24461;CANCELADO;Weather;
331;24505;CANCELADO;Weather;
332;24550;CANCELADO;Weather;
333;24576;CANCELADO;Weather;
334;24615;CANCELADO;Weather;
335;24631;CANCELADO;Weather;
336;24710;CANCELADO;Weather;
337;24724;CANCELADO;Carrier;
338;24761;CANCELADO;Weather;
339;24873;CANCELADO;Weather;
340;24874;CANCELADO;Weather;
341;25080;CANCELADO;Weather;
342;25108;CANCELADO;Weather;
343;25152;CANCELADO;Weather;
344;25166;CANCELADO;Weather;
345;25206;CANCELADO;Weather;
346;25262;CANCELADO;Weather;
347;25263;CANCELADO;Weather;
348;25292;CANCELADO;Weather;
349;25324;CANCELADO;Weather;
350;25329;CANCELADO;Weather;
351;25552;CANCELADO;Weather;
352;25554;CANCELADO;Carrier;
353;25560;CANCELADO;Weather;
354;25600;CANCELADO;Weather;
355;25906;CANCELADO;Carrier;
356;25944;CANCELADO;Weather;
357;26030;CANCELADO;Weather;
358;26685;CANCELADO;Carrier;
359;26749;CANCELADO;Weather;
360;26751;CANCELADO;Weather;
361;26756;CANCELADO;Weather;
362;26759;CANCELADO;Carrier;
363;26932;CANCELADO;Weather;
364;27048;CANCELADO;Weather;
365;27070;CANCELADO;Weather;
366;27073;CANCELADO;Weather;
367;27076;CANCELADO;Weather;
368;27078;CANCELADO;Weather;
369;27094;CANCELADO;Weather;
370;27096;CANCELADO;Weather;
371;27166;CANCELADO;Weather;
372;27167;CANCELADO;Weather;
373;27168;CANCELADO;Weather;
374;27212;CANCELADO;Weather;
375;27219;CANCELADO;Weather;
376;27221;CANCELADO;Weather;
377;27259;CANCELADO;Weather;
378;27285;CANCELADO;National Air System;
379;27370;CANCELADO;Weather;
380;27380;CANCELADO;Weather;
381;27437;CANCELADO;Weather;
382;27452;CANCELADO;Carrier;
383;27544;CANCELADO;Carrier;
384;27696;CANCELADO;Carrier;
385;27929;CANCELADO;Carrier;
386;28054;CANCELADO;National Air System;
387;28063;CANCELADO;Carrier;
388;28064;CANCELADO;Carrier;
389;28115;CANCELADO;Carrier;
390;28144;CANCELADO;National Air System;
391;28162;CANCELADO;Carrier;
392;28344;CANCELADO;Carrier;
393;28378;CANCELADO;Carrier;
394;28389;CANCELADO;Weather;
395;28843;CANCELADO;Weather;
396;29205;CANCELADO;Weather;
397;29273;CANCELADO;Carrier;
398;29314;CANCELADO;Carrier;
399;29387;CANCELADO;Weather;
400;29528;CANCELADO;Carrier;
401;29624;CANCELADO;Carrier;
402;30295;CANCELADO;Weather;
403;30308;CANCELADO;Carrier;
404;30330;CANCELADO;National Air System;
405;30370;CANCELADO;National Air System;
406;30566;CANCELADO;Carrier;
407;30622;CANCELADO;Carrier;
408;30625;CANCELADO;Carrier;
409;30832;CANCELADO;Carrier;
410;31078;CANCELADO;Carrier;
411;31195;CANCELADO;Carrier;
412;31252;CANCELADO;Carrier;
413;31667;CANCELADO;Carrier;
414;31671;CANCELADO;Weather;
415;31705;CANCELADO;Carrier;
416;31743;CANCELADO;Weather;
417;31854;CANCELADO;Carrier;
418;31901;CANCELADO;Carrier;
419;32113;CANCELADO;Carrier;
420;32160;CANCELADO;Carrier;
421;32171;CANCELADO;Carrier;
422;32220;CANCELADO;Carrier;
423;32493;CANCELADO;Carrier;
424;32525;CANCELADO;Carrier;
425;32552;CANCELADO;Weather;
426;33255;CANCELADO;Carrier;
427;33549;CANCELADO;Carrier;
428;33786;CANCELADO;Carrier;
429;33875;CANCELADO;Carrier;
430;34398;CANCELADO;Carrier;
431;34558;CANCELADO;Carrier;
432;34721;CANCELADO;Carrier;
433;35026;CANCELADO;National Air System;
434;35153;CANCELADO;Carrier;
435;35164;CANCELADO;Carrier;
436;35431;CANCELADO;Carrier;
437;35581;CANCELADO;Carrier;
438;35717;CANCELADO;Carrier;
439;35730;CANCELADO;National Air System;
440;35804;CANCELADO;Carrier;
441;35815;CANCELADO;National Air System;
442;36026;CANCELADO;Carrier;
443;36031;CANCELADO;Carrier;
444;36497;CANCELADO;Carrier;
445;36505;CANCELADO;Carrier;
446;36507;CANCELADO;Carrier;
447;36519;CANCELADO;Carrier;
448;36582;CANCELADO;Carrier;
449;36584;CANCELADO;Carrier;
450;36772;CANCELADO;Carrier;
451;36843;CANCELADO;Carrier;
452;36868;CANCELADO;Carrier;
453;36869;CANCELADO;Carrier;
454;36955;CANCELADO;Carrier;
455;36971;CANCELADO;Carrier;
456;37000;CANCELADO;Carrier;
457;37001;CANCELADO;Carrier;
458;37034;CANCELADO;Carrier;
459;37071;CANCELADO;Carrier;
460;37087;CANCELADO;Carrier;
461;37118;CANCELADO;Carrier;
462;37120;CANCELADO;Carrier;
463;37268;CANCELADO;National Air System;
464;37455;CANCELADO;Carrier;
465;37503;CANCELADO;National Air System;
466;37517;CANCELADO;Carrier;
467;37563;CANCELADO;Carrier;
468;37589;CANCELADO;Carrier;
469;38043;CANCELADO;Carrier;
470;38271;CANCELADO;Carrier;
471;38273;CANCELADO;Carrier;
472;38334;CANCELADO;Carrier;
473;38392;CANCELADO;National Air System;
474;39037;CANCELADO;Carrier;
475;39197;CANCELADO;National Air System;
476;39223;CANCELADO;Carrier;
477;39349;CANCELADO;Carrier;
478;39390;CANCELADO;Carrier;
479;39911;CANCELADO;Carrier;
480;40279;CANCELADO;Carrier;
481;40537;CANCELADO;National Air System;
482;40585;CANCELADO;Carrier;
483;40797;CANCELADO;Carrier;
484;40826;CANCELADO;Carrier;
485;40887;CANCELADO;Carrier;
486;41101;CANCELADO;Carrier;
487;41373;CANCELADO;Carrier;
488;41374;CANCELADO;Carrier;
489;41519;CANCELADO;Carrier;
490;41762;CANCELADO;National Air System;
491;41877;CANCELADO;Carrier;
492;42160;CANCELADO;Carrier;
493;42270;CANCELADO;Carrier;
494;42372;CANCELADO;Carrier;
495;42423;CANCELADO;Carrier;
496;43231;CANCELADO;Carrier;
497;43385;CANCELADO;Carrier;
498;45742;CANCELADO;National Air System;
499;45748;CANCELADO;National Air System;
500;45898;CANCELADO;National Air System;
501;46278;CANCELADO;National Air System;
502;46408;CANCELADO;Weather;
503;46640;CANCELADO;National Air System;
504;47386;CANCELADO;National Air System;
505;47496;CANCELADO;National Air System;
506;47533;CANCELADO;Weather;
507;47571;CANCELADO;National Air System;
508;48310;CANCELADO;Carrier;
509;48351;CANCELADO;Carrier;
510;48454;CANCELADO;Carrier;
511;48551;CANCELADO;Carrier;
512;48576;CANCELADO;Carrier;
513;48584;CANCELADO;Carrier;
514;48590;CANCELADO;Carrier;
515;48605;CANCELADO;Carrier;
516;48733;CANCELADO;Carrier;
517;48920;CANCELADO;Carrier;
518;49006;CANCELADO;Weather;
519;49183;CANCELADO;Carrier;
520;49184;CANCELADO;Carrier;
521;49198;CANCELADO;Carrier;
522;49531;CANCELADO;Carrier;
523;49596;CANCELADO;Carrier;
524;49597;CANCELADO;Carrier;
525;49646;CANCELADO;Carrier;
526;49647;CANCELADO;Carrier;
527;28;RETRASO;Carrier;20
528;45;RETRASO;Carrier;17
529;47;RETRASO;Carrier;12
530;66;RETRASO;Carrier;45
531;89;RETRASO;Carrier;15
532;93;RETRASO;Carrier;51
533;94;RETRASO;Carrier;8
534;95;RETRASO;Carrier;15
535;142;RETRASO;Carrier;12
536;149;RETRASO;Carrier;10
537;181;RETRASO;Carrier;10
538;183;RETRASO;Carrier;4
539;189;RETRASO;Carrier;147
540;203;RETRASO;Carrier;17
541;206;RETRASO;Carrier;38
542;209;RETRASO;Carrier;50
543;211;RETRASO;Carrier;25
544;216;RETRASO;Carrier;42
545;225;RETRASO;Carrier;29
546;229;RETRASO;Carrier;25
547;249;RETRASO;Carrier;31
548;257;RETRASO;Carrier;41
549;258;RETRASO;Carrier;77
550;280;RETRASO;Carrier;45
551;284;RETRASO;Carrier;90
552;292;RETRASO;Carrier;27
553;310;RETRASO;Carrier;16
554;321;RETRASO;Carrier;39
555;332;RETRASO;Carrier;74
556;344;RETRASO;Carrier;70
557;394;RETRASO;Carrier;19
558;411;RETRASO;Carrier;21
559;420;RETRASO;Carrier;18
560;428;RETRASO;Carrier;18
561;429;RETRASO;Carrier;37
562;436;RETRASO;Carrier;10
563;492;RETRASO;Carrier;20
564;554;RETRASO;Carrier;17
565;557;RETRASO;Carrier;94
566;559;RETRASO;Carrier;20
567;564;RETRASO;Carrier;34
568;567;RETRASO;Carrier;8
569;579;RETRASO;Carrier;61
570;581;RETRASO;Carrier;136
571;610;RETRASO;Carrier;52
572;622;RETRASO;Carrier;4
573;625;RETRASO;Carrier;40
574;626;RETRASO;Carrier;31
575;643;RETRASO;Carrier;78
576;660;RETRASO;Carrier;39
577;661;RETRASO;Carrier;12
578;670;RETRASO;Carrier;6
579;671;RETRASO;Carrier;37
580;672;RETRASO;Carrier;19
581;684;RETRASO;Carrier;6
582;688;RETRASO;Carrier;238
583;706;RETRASO;Carrier;39
584;707;RETRASO;Carrier;18
585;714;RETRASO;Carrier;25
586;718;RETRASO;Carrier;9
587;722;RETRASO;Carrier;31
588;727;RETRASO;Carrier;54
589;731;RETRASO;Carrier;17
590;732;RETRASO;Carrier;12
591;734;RETRASO;Carrier;12
592;735;RETRASO;Carrier;46
593;750;RETRASO;Carrier;11
594;765;RETRASO;Carrier;25
595;781;RETRASO;Carrier;20
596;782;RETRASO;Carrier;73
597;796;RETRASO;Carrier;8
598;815;RETRASO;Carrier;44
599;822;RETRASO;Carrier;8
600;838;RETRASO;Carrier;30
601;892;RETRASO;Carrier;57
602;894;RETRASO;Carrier;105
603;912;RETRASO;Carrier;25
604;922;RETRASO;Carrier;11
605;925;RETRASO;Carrier;8
606;927;RETRASO;Carrier;36
607;928;RETRASO;Carrier;9
608;942;RETRASO;Carrier;203
609;947;RETRASO;Carrier;44
610;955;RETRASO;Carrier;57
611;992;RETRASO;Carrier;8
612;998;RETRASO;Carrier;20
613;1003;RETRASO;Carrier;61
614;1024;RETRASO;Carrier;11
615;1034;RETRASO;Carrier;4
616;1035;RETRASO;Carrier;4
617;1050;RETRASO;Carrier;23
618;1051;RETRASO;Carrier;14
619;1062;RETRASO;Carrier;6
620;1076;RETRASO;Carrier;9
621;1101;RETRASO;Carrier;10
622;1102;RETRASO;Carrier;45
623;1112;RETRASO;Carrier;13
624;1119;RETRASO;Carrier;6
625;1123;RETRASO;Carrier;33
626;1140;RETRASO;Carrier;37
627;1154;RETRASO;Carrier;8
628;1202;RETRASO;Carrier;15
629;1207;RETRASO;Carrier;21
630;1224;RETRASO;Carrier;30
631;1239;RETRASO;Carrier;61
632;1260;RETRASO;Carrier;104
633;1280;RETRASO;Carrier;15
634;1283;RETRASO;Carrier;12
635;1309;RETRASO;Carrier;7
636;1327;RETRASO;Carrier;48
637;1338;RETRASO;Carrier;20
638;1344;RETRASO;Carrier;33
639;1345;RETRASO;Carrier;20
640;1358;RETRASO;Carrier;2
641;1383;RETRASO;Carrier;425
642;1404;RETRASO;Carrier;57
643;1410;RETRASO;Carrier;28
644;1415;RETRASO;Carrier;15
645;1424;RETRASO;Carrier;19
646;1441;RETRASO;Carrier;121
647;1461;RETRASO;Carrier;67
648;1480;RETRASO;Carrier;131
649;1484;RETRASO;Carrier;22
650;1485;RETRASO;Carrier;58
651;1518;RETRASO;Carrier;16
652;1519;RETRASO;Carrier;20
653;1526;RETRASO;Carrier;34
654;1541;RETRASO;Carrier;14
655;1542;RETRASO;Carrier;8
656;1556;RETRASO;Carrier;10
657;1570;RETRASO;Carrier;28
658;1584;RETRASO;Carrier;15
659;1585;RETRASO;Carrier;40
660;1590;RETRASO;Carrier;15
661;1591;RETRASO;Carrier;14
662;1599;RETRASO;Carrier;5
663;1613;RETRASO;Carrier;7
664;1615;RETRASO;Carrier;16
665;1616;RETRASO;Carrier;13
666;1625;RETRASO;Carrier;163
667;1641;RETRASO;Carrier;3
668;1649;RETRASO;Carrier;15
669;1653;RETRASO;Carrier;28
670;1658;RETRASO;Carrier;128
671;1664;RETRASO;Carrier;84
672;1666;RETRASO;Carrier;10
673;1689;RETRASO;Carrier;187
674;1691;RETRASO;Carrier;18
675;1692;RETRASO;Carrier;95
676;1699;RETRASO;Carrier;334
677;1713;RETRASO;Carrier;43
678;1718;RETRASO;Carrier;8
679;1725;RETRASO;Carrier;14
680;1730;RETRASO;Carrier;3
681;1733;RETRASO;Carrier;126
682;1747;RETRASO;Carrier;14
683;1754;RETRASO;Carrier;2
684;1774;RETRASO;Carrier;88
685;1796;RETRASO;Carrier;39
686;1798;RETRASO;Carrier;16
687;1817;RETRASO;Carrier;70
688;1819;RETRASO;Carrier;12
689;1829;RETRASO;Carrier;7
690;1853;RETRASO;Carrier;7
691;1854;RETRASO;Carrier;18
692;1857;RETRASO;Carrier;2
693;1858;RETRASO;Carrier;28
694;1880;RETRASO;Carrier;2
695;1904;RETRASO;Carrier;14
696;1910;RETRASO;Carrier;6
697;1913;RETRASO;Carrier;2
698;1938;RETRASO;Carrier;28
699;1945;RETRASO;Carrier;35
700;1964;RETRASO;Carrier;67
701;1971;RETRASO;Carrier;8
702;1981;RETRASO;Carrier;12
703;1986;RETRASO;Carrier;76
704;1989;RETRASO;Carrier;8
705;2040;RETRASO;Carrier;224
706;2057;RETRASO;Carrier;12
707;2067;RETRASO;Carrier;18
708;2073;RETRASO;Carrier;32
709;2075;RETRASO;Carrier;26
710;2076;RETRASO;Carrier;46
711;2108;RETRASO;Carrier;21
712;2110;RETRASO;Carrier;10
713;2111;RETRASO;Carrier;5
714;2118;RETRASO;Carrier;49
715;2121;RETRASO;Carrier;67
716;2123;RETRASO;Carrier;133
717;2126;RETRASO;Carrier;6
718;2129;RETRASO;Carrier;12
719;2133;RETRASO;Carrier;15
720;2148;RETRASO;Carrier;21
721;2152;RETRASO;Carrier;7
722;2157;RETRASO;Carrier;3
723;2163;RETRASO;Carrier;27
724;2180;RETRASO;Carrier;1
725;2182;RETRASO;Carrier;20
726;2209;RETRASO;Carrier;25
727;2227;RETRASO;Carrier;10
728;2232;RETRASO;Carrier;19
729;2240;RETRASO;Carrier;12
730;2247;RETRASO;Carrier;46
731;2271;RETRASO;Carrier;98
732;2272;RETRASO;Carrier;37
733;2280;RETRASO;Carrier;96
734;2288;RETRASO;Carrier;4
735;2291;RETRASO;Carrier;2
736;2294;RETRASO;Carrier;13
737;2300;RETRASO;Carrier;19
738;2302;RETRASO;Carrier;46
739;2321;RETRASO;Carrier;38
740;2332;RETRASO;Carrier;18
741;2335;RETRASO;Carrier;21
742;2336;RETRASO;Carrier;892
743;2345;RETRASO;Carrier;21
744;2347;RETRASO;Carrier;82
745;2355;RETRASO;Carrier;41
746;2360;RETRASO;Carrier;95
747;2383;RETRASO;Carrier;19
748;2406;RETRASO;Carrier;9
749;2418;RETRASO;Carrier;21
750;2430;RETRASO;Carrier;62
751;2435;RETRASO;Carrier;18
752;2473;RETRASO;Carrier;4
753;2493;RETRASO;Carrier;10
754;2500;RETRASO;Carrier;30
755;2515;RETRASO;Carrier;11
756;2519;RETRASO;Carrier;24
757;2520;RETRASO;Carrier;15
758;2521;RETRASO;Carrier;61
759;2568;RETRASO;Carrier;6
760;2575;RETRASO;Carrier;21
761;2579;RETRASO;Carrier;21
762;2588;RETRASO;Carrier;6
763;2651;RETRASO;Carrier;17
764;2661;RETRASO;Carrier;51
765;2680;RETRASO;Carrier;48
766;2681;RETRASO;Carrier;33
767;2687;RETRASO;Carrier;3
768;2713;RETRASO;Carrier;30
769;2737;RETRASO;Carrier;10
770;2738;RETRASO;Carrier;13
771;2744;RETRASO;Carrier;1
772;2748;RETRASO;Carrier;106
773;2749;RETRASO;Carrier;20
774;2753;RETRASO;Carrier;16
775;2760;RETRASO;Carrier;74
776;2774;RETRASO;Carrier;17
777;2791;RETRASO;Carrier;4
778;2792;RETRASO;Carrier;6
779;2794;RETRASO;Carrier;6
780;2801;RETRASO;Carrier;19
781;2820;RETRASO;Carrier;15
782;2823;RETRASO;Carrier;54
783;2834;RETRASO;Carrier;160
784;2866;RETRASO;Carrier;85
785;2867;RETRASO;Carrier;111
786;2870;RETRASO;Carrier;10
787;2880;RETRASO;Carrier;25
788;2886;RETRASO;Carrier;39
789;2890;RETRASO;Carrier;50
790;2893;RETRASO;Carrier;4
791;2902;RETRASO;Carrier;8
792;2908;RETRASO;Carrier;25
793;2921;RETRASO;Carrier;22
794;2934;RETRASO;Carrier;4
795;2948;RETRASO;Carrier;116
796;2957;RETRASO;Carrier;4
797;2959;RETRASO;Carrier;41
798;2960;RETRASO;Carrier;37
799;2963;RETRASO;Carrier;17
800;2993;RETRASO;Carrier;83
801;2994;RETRASO;Carrier;20
802;3006;RETRASO;Carrier;46
803;3012;RETRASO;Carrier;70
804;3020;RETRASO;Carrier;1
805;3061;RETRASO;Carrier;5
806;3082;RETRASO;Carrier;13
807;3127;RETRASO;Carrier;35
808;3134;RETRASO;Carrier;14
809;3154;RETRASO;Carrier;75
810;3156;RETRASO;Carrier;26
811;3172;RETRASO;Carrier;54
812;3174;RETRASO;Carrier;6
813;3176;RETRASO;Carrier;1
814;3197;RETRASO;Carrier;8
